figure_id,scope,research_question_id,population_id,representation_id,preprocessing_policy_id,information_regime,independent_unit,panel_id,x_value,y_value,y_lower,y_upper,series,trace_group,point_status,point_label,denominator,outer_repeat
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-000,0.333333333333,,,spectrum,1,complete,C-PRIOR:C-PRIOR-000,24,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-000,0.333333333333,,,instrument_balanced_master,1,complete,C-PRIOR:C-PRIOR-000,24,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-000,0.333333333333,,,spectrum,2,complete,C-PRIOR:C-PRIOR-000,24,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-000,0.333333333333,,,instrument_balanced_master,2,complete,C-PRIOR:C-PRIOR-000,24,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-000,0.333333333333,,,spectrum,3,complete,C-PRIOR:C-PRIOR-000,24,3
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-000,0.333333333333,,,instrument_balanced_master,3,complete,C-PRIOR:C-PRIOR-000,24,3
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-000,0.333333333333,,,spectrum,4,complete,C-PRIOR:C-PRIOR-000,24,4
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-000,0.333333333333,,,instrument_balanced_master,4,complete,C-PRIOR:C-PRIOR-000,24,4
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-000,0.333333333333,,,spectrum,5,complete,C-PRIOR:C-PRIOR-000,24,5
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-000,0.333333333333,,,instrument_balanced_master,5,complete,C-PRIOR:C-PRIOR-000,24,5
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,1,complete,C-PRIOR:C-PRIOR-001,24,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,1,complete,C-PRIOR:C-PRIOR-001,24,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,2,complete,C-PRIOR:C-PRIOR-001,24,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,2,complete,C-PRIOR:C-PRIOR-001,24,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,3,complete,C-PRIOR:C-PRIOR-001,24,3
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,3,complete,C-PRIOR:C-PRIOR-001,24,3
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,4,complete,C-PRIOR:C-PRIOR-001,24,4
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,4,complete,C-PRIOR:C-PRIOR-001,24,4
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,5,complete,C-PRIOR:C-PRIOR-001,24,5
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,cwa,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,5,complete,C-PRIOR:C-PRIOR-001,24,5
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-000,0.333333333333,,,spectrum,1,complete,C-PRIOR:C-PRIOR-000,20,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-000,0.333333333333,,,instrument_balanced_master,1,complete,C-PRIOR:C-PRIOR-000,20,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-000,0.333333333333,,,spectrum,2,complete,C-PRIOR:C-PRIOR-000,20,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-000,0.333333333333,,,instrument_balanced_master,2,complete,C-PRIOR:C-PRIOR-000,20,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-000,0.333333333333,,,spectrum,3,complete,C-PRIOR:C-PRIOR-000,20,3
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-000,0.333333333333,,,instrument_balanced_master,3,complete,C-PRIOR:C-PRIOR-000,20,3
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-000,0.276979565773,,,spectrum,4,complete,C-PRIOR:C-PRIOR-000,20,4
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-000,0.297619047619,,,instrument_balanced_master,4,complete,C-PRIOR:C-PRIOR-000,20,4
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-000,0.333333333333,,,spectrum,5,complete,C-PRIOR:C-PRIOR-000,20,5
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-000,0.333333333333,,,instrument_balanced_master,5,complete,C-PRIOR:C-PRIOR-000,20,5
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,1,complete,C-PRIOR:C-PRIOR-001,20,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,1,complete,C-PRIOR:C-PRIOR-001,20,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,2,complete,C-PRIOR:C-PRIOR-001,20,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,2,complete,C-PRIOR:C-PRIOR-001,20,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,3,complete,C-PRIOR:C-PRIOR-001,20,3
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,3,complete,C-PRIOR:C-PRIOR-001,20,3
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,4,complete,C-PRIOR:C-PRIOR-001,20,4
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,4,complete,C-PRIOR:C-PRIOR-001,20,4
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,5,complete,C-PRIOR:C-PRIOR-001,20,5
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,pills,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,5,complete,C-PRIOR:C-PRIOR-001,20,5
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-000,0.298498811801,,,spectrum,1,complete,C-PRIOR:C-PRIOR-000,25,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-000,0.342424242424,,,instrument_balanced_master,1,complete,C-PRIOR:C-PRIOR-000,25,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-000,0.236886338608,,,spectrum,2,complete,C-PRIOR:C-PRIOR-000,25,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-000,0.309090909091,,,instrument_balanced_master,2,complete,C-PRIOR:C-PRIOR-000,25,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-000,0.333333333333,,,spectrum,3,complete,C-PRIOR:C-PRIOR-000,25,3
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-000,0.333333333333,,,instrument_balanced_master,3,complete,C-PRIOR:C-PRIOR-000,25,3
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-000,0.159218686605,,,spectrum,4,complete,C-PRIOR:C-PRIOR-000,25,4
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-000,0.284848484848,,,instrument_balanced_master,4,complete,C-PRIOR:C-PRIOR-000,25,4
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-000,0.284414304759,,,spectrum,5,complete,C-PRIOR:C-PRIOR-000,25,5
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-000,0.309090909091,,,instrument_balanced_master,5,complete,C-PRIOR:C-PRIOR-000,25,5
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,1,complete,C-PRIOR:C-PRIOR-001,25,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,1,complete,C-PRIOR:C-PRIOR-001,25,1
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-001,0.333333333333,,,spectrum,2,complete,C-PRIOR:C-PRIOR-001,25,2
F13,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,surfaces,C-PRIOR:C-PRIOR-001,0.333333333333,,,instrument_balanced_master,2,complete,C-PRIOR:C-PRIOR-001,25,2
