protocol_version,domain_id,station,substrate_family,held_instrument,station_class_count,held_rows,held_masters,held_class_support,minimum_held_masters_per_class,source_pool_rows,source_pool_masters,source_pool_class_support,minimum_source_pool_masters_per_class,minimum_training_masters_per_class_across_outer_splits,minimum_source_instruments_per_class_across_outer_splits,paired_class_support,minimum_paired_source_held_masters_per_class,support_tier,support_reason,endpoint_status,matched_masters,held_balanced_accuracy,source_minus_held_balanced_accuracy,held_lcb95,held_ucb95,loss_lcb95,loss_ucb95,completion_state,iut_p_value,holm_adjusted_iut_p_value
nato-sers-p13-v1-locked,P13-DOM-014,pills,NRC_Canadian_SERS,Agilent-1,3,8,8,4_ANPP:3|benzyl_fentanyl:3|blank:2,2,34,17,4_ANPP:5|benzyl_fentanyl:4|blank:8,4,2,1,4_ANPP:3|benzyl_fentanyl:3|blank:2,2,exploratory_low_support,below_confirmatory_three_master_threshold,unavailable_terminal_failure,,,,,,,,unavailable_terminal_failure,,
nato-sers-p13-v1-locked,P13-DOM-015,pills,NRC_Canadian_SERS,Mira-3,3,20,17,4_ANPP:5|benzyl_fentanyl:4|blank:8,4,22,15,4_ANPP:5|benzyl_fentanyl:4|blank:6,4,2,1,4_ANPP:5|benzyl_fentanyl:4|blank:6,4,exploratory_low_support,below_confirmatory_three_master_threshold,complete,15,0.316666666667,0.194444444444,0.166666666667,0.466666666667,-0.0833333333333,0.277777777778,inferior_portability,,
nato-sers-p13-v1-locked,P13-DOM-016,pills,NRC_Canadian_SERS,Pendar-1,3,14,10,4_ANPP:4|benzyl_fentanyl:1|blank:5,1,28,17,4_ANPP:5|benzyl_fentanyl:4|blank:8,4,2,1,4_ANPP:4|benzyl_fentanyl:1|blank:5,1,unsupported_by_design,held_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-017,pills,pSERS_Metrohm_silver,Agilent-1,3,21,19,4_ANPP:6|benzyl_fentanyl:5|blank:8,5,145,20,4_ANPP:7|benzyl_fentanyl:5|blank:8,5,3,4,4_ANPP:6|benzyl_fentanyl:5|blank:8,5,confirmatory,confirmatory_supported,complete,19,0.958333333333,0.0416666666667,0.791666666667,1,0,0.125,inconclusive,0.0677,0.8489
nato-sers-p13-v1-locked,P13-DOM-018,pills,pSERS_Metrohm_silver,Agilent-3,3,35,20,4_ANPP:7|benzyl_fentanyl:5|blank:8,5,131,20,4_ANPP:7|benzyl_fentanyl:5|blank:8,5,3,4,4_ANPP:7|benzyl_fentanyl:5|blank:8,5,confirmatory,confirmatory_supported,complete,20,0.958333333333,0.0416666666667,0.751061670757,1,0,0.125,inconclusive,0.0674,0.8489
nato-sers-p13-v1-locked,P13-DOM-019,pills,pSERS_Metrohm_silver,Mira-3,3,52,19,4_ANPP:7|benzyl_fentanyl:4|blank:8,4,114,20,4_ANPP:7|benzyl_fentanyl:5|blank:8,5,3,4,4_ANPP:7|benzyl_fentanyl:4|blank:8,4,confirmatory,confirmatory_supported,complete,19,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,inferior_portability,1,1
nato-sers-p13-v1-locked,P13-DOM-020,pills,pSERS_Metrohm_silver,Pendar-1,3,32,19,4_ANPP:7|benzyl_fentanyl:5|blank:7,5,134,20,4_ANPP:7|benzyl_fentanyl:5|blank:8,5,3,4,4_ANPP:7|benzyl_fentanyl:5|blank:7,5,confirmatory,confirmatory_supported,complete,19,0.933333333333,0.0666666666667,0.666666666667,1,0,0.328828599819,inconclusive,0.2561,1
nato-sers-p13-v1-locked,P13-DOM-021,pills,pSERS_Metrohm_silver,Pendar-2,3,6,4,4_ANPP:0|benzyl_fentanyl:1|blank:3,0,160,20,4_ANPP:7|benzyl_fentanyl:5|blank:8,5,3,5,4_ANPP:0|benzyl_fentanyl:1|blank:3,0,unsupported_by_design,held_masters_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-022,pills,pSERS_Metrohm_silver,Pendar-3,3,20,19,4_ANPP:7|benzyl_fentanyl:4|blank:8,4,146,20,4_ANPP:7|benzyl_fentanyl:5|blank:8,5,3,4,4_ANPP:7|benzyl_fentanyl:4|blank:8,4,confirmatory,confirmatory_supported,complete,19,0.952380952381,0.047619047619,0.715788451919,1,0,0.142857142857,inconclusive,0.0653,0.8489
nato-sers-p13-v1-locked,P13-DOM-023,surfaces,GaN_polymer,Agilent-3,3,2,1,4_ANPP:0|acetaminophen:0|benzyl_fentanyl:1,0,3,1,4_ANPP:0|acetaminophen:0|benzyl_fentanyl:1,0,0,0,4_ANPP:0|acetaminophen:0|benzyl_fentanyl:1,0,unsupported_by_design,held_masters_per_class_lt_2|training_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-024,surfaces,GaN_polymer,Mira-1,3,3,1,4_ANPP:0|acetaminophen:0|benzyl_fentanyl:1,0,2,1,4_ANPP:0|acetaminophen:0|benzyl_fentanyl:1,0,0,0,4_ANPP:0|acetaminophen:0|benzyl_fentanyl:1,0,unsupported_by_design,held_masters_per_class_lt_2|training_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-025,surfaces,H_SERS_H_Kit,Pendar-3,3,1,1,4_ANPP:0|acetaminophen:1|benzyl_fentanyl:0,0,0,0,4_ANPP:0|acetaminophen:0|benzyl_fentanyl:0,0,0,0,4_ANPP:0|acetaminophen:0|benzyl_fentanyl:0,0,unsupported_by_design,held_masters_per_class_lt_2|training_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-026,surfaces,NRC_Canadian_SERS,Mira-2,3,2,2,4_ANPP:0|acetaminophen:1|benzyl_fentanyl:1,0,16,9,4_ANPP:2|acetaminophen:4|benzyl_fentanyl:3,2,0,0,4_ANPP:0|acetaminophen:1|benzyl_fentanyl:1,0,unsupported_by_design,held_masters_per_class_lt_2|training_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-027,surfaces,NRC_Canadian_SERS,Pendar-3,3,9,9,4_ANPP:2|acetaminophen:4|benzyl_fentanyl:3,2,9,7,4_ANPP:1|acetaminophen:3|benzyl_fentanyl:3,1,0,0,4_ANPP:1|acetaminophen:3|benzyl_fentanyl:3,1,unsupported_by_design,training_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-028,surfaces,NRC_Canadian_SERS,RMX-2,3,7,7,4_ANPP:1|acetaminophen:3|benzyl_fentanyl:3,1,11,9,4_ANPP:2|acetaminophen:4|benzyl_fentanyl:3,2,0,0,4_ANPP:1|acetaminophen:3|benzyl_fentanyl:3,1,unsupported_by_design,held_masters_per_class_lt_2|training_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-029,surfaces,pSERS_Metrohm_silver,Agilent-3,3,17,17,4_ANPP:3|acetaminophen:7|benzyl_fentanyl:7,3,141,25,4_ANPP:4|acetaminophen:11|benzyl_fentanyl:10,4,3,4,4_ANPP:3|acetaminophen:7|benzyl_fentanyl:7,3,confirmatory,confirmatory_supported,unavailable_terminal_failure,,,,,,,,unavailable_terminal_failure,1,1
nato-sers-p13-v1-locked,P13-DOM-030,surfaces,pSERS_Metrohm_silver,Mira-1,3,20,17,4_ANPP:3|acetaminophen:7|benzyl_fentanyl:7,3,138,25,4_ANPP:4|acetaminophen:11|benzyl_fentanyl:10,4,3,4,4_ANPP:3|acetaminophen:7|benzyl_fentanyl:7,3,confirmatory,confirmatory_supported,complete,17,0.571428571429,0.380952380952,0.380952380952,0.619047619048,0.190476190476,0.47619047619,inferior_portability,0.9998,1
nato-sers-p13-v1-locked,P13-DOM-031,surfaces,pSERS_Metrohm_silver,Mira-2,3,1,1,4_ANPP:0|acetaminophen:1|benzyl_fentanyl:0,0,157,25,4_ANPP:4|acetaminophen:11|benzyl_fentanyl:10,4,3,5,4_ANPP:0|acetaminophen:1|benzyl_fentanyl:0,0,unsupported_by_design,held_masters_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-032,surfaces,pSERS_Metrohm_silver,Pendar-2,3,35,25,4_ANPP:4|acetaminophen:11|benzyl_fentanyl:10,4,123,23,4_ANPP:4|acetaminophen:9|benzyl_fentanyl:10,4,3,4,4_ANPP:4|acetaminophen:9|benzyl_fentanyl:10,4,confirmatory,confirmatory_supported,unavailable_terminal_failure,,,,,,,,unavailable_terminal_failure,1,1
nato-sers-p13-v1-locked,P13-DOM-033,surfaces,pSERS_Metrohm_silver,Pendar-3,3,27,15,4_ANPP:3|acetaminophen:6|benzyl_fentanyl:6,3,131,25,4_ANPP:4|acetaminophen:11|benzyl_fentanyl:10,4,3,4,4_ANPP:3|acetaminophen:6|benzyl_fentanyl:6,3,confirmatory,confirmatory_supported,unavailable_terminal_failure,,,,,,,,unavailable_terminal_failure,1,1
nato-sers-p13-v1-locked,P13-DOM-034,surfaces,pSERS_Metrohm_silver,RMX-2,3,58,23,4_ANPP:4|acetaminophen:9|benzyl_fentanyl:10,4,100,25,4_ANPP:4|acetaminophen:11|benzyl_fentanyl:10,4,3,4,4_ANPP:4|acetaminophen:9|benzyl_fentanyl:10,4,confirmatory,confirmatory_supported,unavailable_terminal_failure,,,,,,,,unavailable_terminal_failure,1,1
