protocol_version,domain_id,station,substrate_family,held_instrument,station_class_count,held_rows,held_masters,held_class_support,minimum_held_masters_per_class,source_pool_rows,source_pool_masters,source_pool_class_support,minimum_source_pool_masters_per_class,minimum_training_masters_per_class_across_outer_splits,minimum_source_instruments_per_class_across_outer_splits,paired_class_support,minimum_paired_source_held_masters_per_class,support_tier,support_reason,endpoint_status,matched_masters,held_balanced_accuracy,source_minus_held_balanced_accuracy,held_lcb95,held_ucb95,loss_lcb95,loss_ucb95,completion_state,iut_p_value,holm_adjusted_iut_p_value
nato-sers-p13-v1-locked,P13-DOM-001,cwa,GaN_polymer,Agilent-3,3,4,2,4_nitrophenol:2|ethanol:0|ethyl_paraoxon:0,0,14,4,4_nitrophenol:4|ethanol:0|ethyl_paraoxon:0,0,0,0,4_nitrophenol:2|ethanol:0|ethyl_paraoxon:0,0,unsupported_by_design,held_masters_per_class_lt_2|training_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-002,cwa,GaN_polymer,Mira-2,3,4,2,4_nitrophenol:2|ethanol:0|ethyl_paraoxon:0,0,14,4,4_nitrophenol:4|ethanol:0|ethyl_paraoxon:0,0,0,0,4_nitrophenol:2|ethanol:0|ethyl_paraoxon:0,0,unsupported_by_design,held_masters_per_class_lt_2|training_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-003,cwa,GaN_polymer,Pendar-2,3,8,4,4_nitrophenol:4|ethanol:0|ethyl_paraoxon:0,0,10,3,4_nitrophenol:3|ethanol:0|ethyl_paraoxon:0,0,0,0,4_nitrophenol:3|ethanol:0|ethyl_paraoxon:0,0,unsupported_by_design,held_masters_per_class_lt_2|training_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-004,cwa,GaN_polymer,RMX-1,3,2,2,4_nitrophenol:2|ethanol:0|ethyl_paraoxon:0,0,16,4,4_nitrophenol:4|ethanol:0|ethyl_paraoxon:0,0,0,0,4_nitrophenol:2|ethanol:0|ethyl_paraoxon:0,0,unsupported_by_design,held_masters_per_class_lt_2|training_masters_per_class_lt_2|source_instruments_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,3,12,8,4_nitrophenol:3|ethanol:3|ethyl_paraoxon:2,2,140,24,4_nitrophenol:8|ethanol:9|ethyl_paraoxon:7,7,5,3,4_nitrophenol:3|ethanol:3|ethyl_paraoxon:2,2,exploratory_low_support,below_confirmatory_three_master_threshold,unavailable_terminal_failure,,,,,,,,unavailable_terminal_failure,,
nato-sers-p13-v1-locked,P13-DOM-006,cwa,H_SERS_H_Kit,Mira-2,3,54,24,4_nitrophenol:8|ethanol:9|ethyl_paraoxon:7,7,98,24,4_nitrophenol:8|ethanol:9|ethyl_paraoxon:7,7,5,3,4_nitrophenol:8|ethanol:9|ethyl_paraoxon:7,7,confirmatory,confirmatory_supported,complete,24,0.708994708995,0.0588624338624,0.529100529101,0.851851851852,-0.158068783069,0.248677248677,inconclusive,0.3605,1
nato-sers-p13-v1-locked,P13-DOM-007,cwa,H_SERS_H_Kit,Pendar-2,3,49,24,4_nitrophenol:8|ethanol:9|ethyl_paraoxon:7,7,103,24,4_nitrophenol:8|ethanol:9|ethyl_paraoxon:7,7,5,3,4_nitrophenol:8|ethanol:9|ethyl_paraoxon:7,7,confirmatory,confirmatory_supported,unavailable_terminal_failure,,,,,,,,unavailable_terminal_failure,1,1
nato-sers-p13-v1-locked,P13-DOM-008,cwa,H_SERS_H_Kit,Pendar-3,3,5,4,4_nitrophenol:2|ethanol:1|ethyl_paraoxon:1,1,147,24,4_nitrophenol:8|ethanol:9|ethyl_paraoxon:7,7,5,4,4_nitrophenol:2|ethanol:1|ethyl_paraoxon:1,1,unsupported_by_design,held_masters_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-009,cwa,H_SERS_H_Kit,RMX-1,3,32,18,4_nitrophenol:8|ethanol:6|ethyl_paraoxon:4,4,120,24,4_nitrophenol:8|ethanol:9|ethyl_paraoxon:7,7,5,3,4_nitrophenol:8|ethanol:6|ethyl_paraoxon:4,4,confirmatory,confirmatory_supported,unavailable_terminal_failure,,,,,,,,unavailable_terminal_failure,1,1
nato-sers-p13-v1-locked,P13-DOM-010,cwa,NRC_Canadian_SERS,Agilent-3,3,3,2,4_nitrophenol:0|ethanol:1|ethyl_paraoxon:1,0,35,12,4_nitrophenol:5|ethanol:4|ethyl_paraoxon:3,3,1,2,4_nitrophenol:0|ethanol:1|ethyl_paraoxon:1,0,unsupported_by_design,held_masters_per_class_lt_2|training_masters_per_class_lt_2|paired_source_held_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-011,cwa,NRC_Canadian_SERS,Mira-2,3,14,12,4_nitrophenol:5|ethanol:4|ethyl_paraoxon:3,3,24,12,4_nitrophenol:5|ethanol:4|ethyl_paraoxon:3,3,1,2,4_nitrophenol:5|ethanol:4|ethyl_paraoxon:3,3,unsupported_by_design,training_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-012,cwa,NRC_Canadian_SERS,Pendar-3,3,8,7,4_nitrophenol:2|ethanol:3|ethyl_paraoxon:2,2,30,12,4_nitrophenol:5|ethanol:4|ethyl_paraoxon:3,3,1,2,4_nitrophenol:2|ethanol:3|ethyl_paraoxon:2,2,unsupported_by_design,training_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
nato-sers-p13-v1-locked,P13-DOM-013,cwa,NRC_Canadian_SERS,RMX-1,3,13,11,4_nitrophenol:5|ethanol:3|ethyl_paraoxon:3,3,25,12,4_nitrophenol:5|ethanol:4|ethyl_paraoxon:3,3,1,2,4_nitrophenol:5|ethanol:3|ethyl_paraoxon:3,3,unsupported_by_design,training_masters_per_class_lt_2,,,,,,,,,unsupported_by_design,,
