figure_id,scope,research_question_id,independent_unit,information_regime,panel,x_master_count,y_class_count,series,trace_group,y_label,x_domain,y_family_state,x_requested,y_fraction,x_trigger_count,y_candidate_count
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,8,3,low-support domain,cwa:Agilent-3,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,8,3,low-support domain,cwa:Pendar-3,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,4,2,low-support domain,pills:Pendar-2,2,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,2,2,low-support domain,surfaces:Mira-2,2,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,24,3,primary domain,cwa:Mira-2,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,24,3,primary domain,cwa:Pendar-2,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,18,3,primary domain,cwa:RMX-1,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,19,3,primary domain,pills:Agilent-1,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,20,3,primary domain,pills:Agilent-3,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,19,3,primary domain,pills:Mira-3,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,20,3,primary domain,pills:Pendar-1,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,19,3,primary domain,pills:Pendar-3,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,17,3,primary domain,surfaces:Agilent-3,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,17,3,primary domain,surfaces:Mira-1,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,25,3,primary domain,surfaces:Pendar-2,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,17,3,primary domain,surfaces:Pendar-3,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,domains,23,3,primary domain,surfaces:RMX-2,3,,,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,unknown family,cwa:Mira-2,unknown,1,0,,,,
F11,S,RQ-S02|RQ-S03|RQ-S04,outer domain cell or declared gate,source-frozen metadata and target-access design,family,,,"known, unsupported",cwa:Pendar-2,known / unsupported,2,1,,,,
