figure_id,scope,research_question_id,population_id,representation_id,preprocessing_policy_id,information_regime,independent_unit,panel_id,x_value,y_value,y_lower,y_upper,series,trace_group,point_status,point_label,denominator,bin_lower,bin_upper,repeat_count
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.373171651843,0.529120879121,0.428571428571,0.75,cwa,cwa,complete,bin 3,12.8,0.3,0.4,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.449059207854,0.687463768116,0.625,0.75,cwa,cwa,complete,bin 4,20.6,0.4,0.5,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.541968816054,0.693867243867,0.583333333333,0.777777777778,cwa,cwa,complete,bin 5,9.8,0.5,0.6,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.646793765453,0.787272727273,0.5,1,cwa,cwa,complete,bin 6,7.8,0.6,0.7,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.746408705868,0.891666666667,0.666666666667,1,cwa,cwa,complete,bin 7,5.25,0.7,0.8,4
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.867069531197,0.45,0,1,cwa,cwa,complete,bin 8,1.8,0.8,0.9,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.94198420119,0.666666666667,0,1,cwa,cwa,complete,bin 9,1,0.9,1,3
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.37943594739,0.566666666667,0,1,pills,pills,complete,bin 3,2,0.3,0.4,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.453142047961,0.755024154589,0.6,0.888888888889,pills,pills,complete,bin 4,16.4,0.4,0.5,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.547410109075,0.902587301587,0.875,0.952380952381,pills,pills,complete,bin 5,20.8,0.5,0.6,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.652340367816,0.963235294118,0.875,1,pills,pills,complete,bin 6,14.2,0.6,0.7,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.742479914778,0.897948717949,0.8,1,pills,pills,complete,bin 7,12.2,0.7,0.8,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.859293807215,0.700051118472,0.555555555556,0.818181818182,pills,pills,complete,bin 8,12.8,0.8,0.9,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.949165143972,0.638348813209,0.5,0.736842105263,pills,pills,complete,bin 9,18.6,0.9,1,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.372564659413,0.407142857143,0,0.75,surfaces,surfaces,complete,bin 3,3.6,0.3,0.4,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.441867258363,0.645006366183,0.588235294118,0.727272727273,surfaces,surfaces,complete,bin 4,14.2,0.4,0.5,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.552866091768,0.534805194805,0.428571428571,0.666666666667,surfaces,surfaces,complete,bin 5,13.6,0.5,0.6,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.642364040028,0.661274509804,0.4,0.875,surfaces,surfaces,complete,bin 6,10.4,0.6,0.7,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.747136416191,0.714444444444,0.555555555556,1,surfaces,surfaces,complete,bin 7,13.6,0.7,0.8,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.847390618537,0.830952380952,0.714285714286,1,surfaces,surfaces,complete,bin 8,8,0.8,0.9,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,instrument_balanced_master,0.94768157209,0.837573537574,0.714285714286,0.923076923077,surfaces,surfaces,complete,bin 9,12,0.9,1,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.374345151306,0.373989100331,0.307692307692,0.416666666667,cwa,cwa,complete,bin 3,30.6,0.3,0.4,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.449028665989,0.600079210121,0.545454545455,0.683333333333,cwa,cwa,complete,bin 4,58,0.4,0.5,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.54701341501,0.554106837607,0.52,0.576923076923,cwa,cwa,complete,bin 5,22.4,0.5,0.6,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.642174341398,0.744213522421,0.612903225806,0.85,cwa,cwa,complete,bin 6,23.6,0.6,0.7,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.748702319533,0.754172156346,0.652173913043,0.833333333333,cwa,cwa,complete,bin 7,18,0.7,0.8,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.846693694001,0.675238095238,0.5,0.809523809524,cwa,cwa,complete,bin 8,12.6,0.8,0.9,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.932698125105,0.622121212121,0.25,0.833333333333,cwa,cwa,complete,bin 9,6.6,0.9,1,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.383947876487,0,0,0,pills,pills,complete,bin 3,1,0.3,0.4,2
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.46421758592,0.63850328593,0.571428571429,0.730769230769,pills,pills,complete,bin 4,20.2,0.4,0.5,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.5511747032,0.772334870756,0.684210526316,0.848484848485,pills,pills,complete,bin 5,37.8,0.5,0.6,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.650168520928,0.820337034946,0.772727272727,0.928571428571,pills,pills,complete,bin 6,25,0.6,0.7,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.748370567497,0.836138943616,0.764705882353,0.933333333333,pills,pills,complete,bin 7,19.4,0.7,0.8,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.856145030237,0.565336955178,0.448275862069,0.741935483871,pills,pills,complete,bin 8,29.8,0.8,0.9,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.957870943106,0.590071715316,0.549295774648,0.652173913043,pills,pills,complete,bin 9,69.4,0.9,1,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.366778282491,0.447331932773,0.4,0.5,surfaces,surfaces,complete,bin 3,10.6,0.3,0.4,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.454180830037,0.526242888657,0.5,0.55,surfaces,surfaces,complete,bin 4,26.6,0.4,0.5,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.553018665075,0.55042765382,0.411764705882,0.6875,surfaces,surfaces,complete,bin 5,27.2,0.5,0.6,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.649188899152,0.615341781874,0.4375,0.714285714286,surfaces,surfaces,complete,bin 6,24,0.6,0.7,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.747560702162,0.681676413255,0.578947368421,0.75,surfaces,surfaces,complete,bin 7,28.8,0.7,0.8,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.853752079349,0.751771323306,0.65,0.941176470588,surfaces,surfaces,complete,bin 8,19.4,0.8,0.9,5
F42,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,physical master; split repeat descriptive,spectrum,0.948932651546,0.868880226157,0.744680851064,0.961538461538,surfaces,surfaces,complete,bin 9,32.4,0.9,1,5
