comparison_model_id,aggregation_id,domain,estimate_d0_minus_classical_ba,lower_95,upper_95,probability_delta_above_zero,bootstrap_draws,bootstrap_seed,independent_physical_masters,figure_id,scope,research_question_id,population_id,population_spectra,population_physical_masters,preprocessing_policy_id,representation_id,information_regime
C-SELECTED,M01,surfaces:Mira-1,0.176430976431,0.00951744334097,0.333333333333,0.981,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M01,surfaces:Pendar-2,0.180151515152,0.0831818181818,0.277199585137,1,5000,20260904,25,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M01,surfaces:Pendar-3,0.016130952381,-0.0464444444444,0.097619047619,0.6988,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M01,surfaces:RMX-2,0.0505747126437,-0.0211234133721,0.130736373047,0.9136,5000,20260904,23,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,__overall__,0.0491598216598,0.0217362591113,0.0771934477559,1,5000,20260904,69,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,cwa:Mira-2,-0.202513227513,-0.32474537037,-0.0738095238095,0.0018,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,cwa:Pendar-2,-0.00251322751323,-0.126987433862,0.121164021164,0.4938,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,cwa:RMX-1,-0.0375,-0.177390873016,0.0821517857143,0.2952,5000,20260904,18,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,pills:Agilent-1,0.0855555555556,0.03,0.152222222222,0.9986,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,pills:Agilent-3,0.0421428571429,-0.0609523809524,0.135714285714,0.8032,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,pills:Mira-3,0,0,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,pills:Pendar-1,0.095,-0.022619047619,0.234047619048,0.9312,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,pills:Pendar-3,0.107142857143,-0.0238095238095,0.27619047619,0.9134,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,surfaces:Agilent-3,0.0222222222222,-0.0825595238095,0.129174107143,0.6554,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,surfaces:Mira-1,0.209523809524,0.0166666666667,0.371119047619,0.984,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,surfaces:Pendar-2,0.157424242424,0.0624242424242,0.258488636364,0.999,5000,20260904,25,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,surfaces:Pendar-3,0.0944444444444,0.0148792989418,0.179761904762,0.9916,5000,20260904,17,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-SELECTED,M06,surfaces:RMX-2,0.0681481481481,-0.01,0.146666666667,0.954,5000,20260904,23,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,__overall__,0.0394095908006,0.0178736682892,0.0624667504804,0.9992,5000,20260904,69,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,cwa:Mira-2,0.00261904761905,-0.0715407837776,0.0955563555219,0.5328,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,cwa:Pendar-2,-0.00146031746032,-0.0813221827192,0.0700174441786,0.4694,5000,20260904,24,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,cwa:RMX-1,-0.0276363636364,-0.155555555556,0.117344444444,0.3372,5000,20260904,18,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,pills:Agilent-1,0.0319696969697,-0.00666666666667,0.082273989899,0.9258,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,pills:Agilent-3,-0.0424242424242,-0.130484330484,0.0144522144522,0.0994,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,pills:Mira-3,0.0122150537634,-0.00839598997494,0.0352061961851,0.8326,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,pills:Pendar-1,0.0315476190476,-0.0275657308378,0.0925010964912,0.6882,5000,20260904,20,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
C-RBF-SVM,M01,pills:Pendar-3,-0.0166666666667,-0.05,0,0,5000,20260904,19,F48,P,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
