figure_id,scope,research_question_id,population_id,representation_id,preprocessing_policy_id,information_regime,independent_unit,panel_id,x_value,y_value,y_lower,y_upper,series,trace_group,point_status,point_label,denominator
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-EXTRA-TREES,0.0166666666667,,,cwa,C-EXTRA-TREES-010,complete,C-EXTRA-TREES-010,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-EXTRA-TREES,0.0166666666667,,,cwa,C-EXTRA-TREES-014,complete,C-EXTRA-TREES-014,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-LOGREG-EN,0.05,,,cwa,C-LOGREG-EN-000,complete,C-LOGREG-EN-000,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-LOGREG-EN,0.05,,,cwa,C-LOGREG-EN-010,complete,C-LOGREG-EN-010,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-LOGREG-EN,0.0166666666667,,,cwa,C-LOGREG-EN-011,complete,C-LOGREG-EN-011,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-LOGREG-EN,0.0166666666667,,,cwa,C-LOGREG-EN-015,complete,C-LOGREG-EN-015,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-LOGREG-EN,0.05,,,cwa,C-LOGREG-EN-016,complete,C-LOGREG-EN-016,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-LOGREG-EN,0.0333333333333,,,cwa,C-LOGREG-EN-019,complete,C-LOGREG-EN-019,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-LOGREG-EN,0.0333333333333,,,cwa,C-LOGREG-EN-020,complete,C-LOGREG-EN-020,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-NEAREST-CENTROID,0.05,,,cwa,C-NEAREST-CENTROID-004,complete,C-NEAREST-CENTROID-004,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-NEAREST-CENTROID,0.05,,,cwa,C-NEAREST-CENTROID-006,complete,C-NEAREST-CENTROID-006,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-PCA-LDA,0.0166666666667,,,cwa,C-PCA-LDA-000,complete,C-PCA-LDA-000,60
F12,S,RQ-P01,primary_598,R_MIN_400_1800,PP-U-MIN,source-only; no target statistics,outer source-development role,frequency,C-PCA-LDA,0.05,,,cwa,C-PCA-LDA-004,complete,C-PCA-LDA-004,60
