400,18484.17
401,18542.38
402,18615.91
403,18682.57
404,18707.33
405,18654.74
406,18489.73
407,18199.59
408,17820.79
409,17396.16
410,16968.12
411,16580.26
412,16282.26
413,16125.17
414,16159.62
415,16425.89
416,16874.18
417,17407.54
418,17929.38
419,18347.34
420,18642.61
421,18865.7
422,19069.4
423,19305.71
424,19593.33
425,19896.06
426,20172.82
427,20382.86
428,20501.38
429,20550.13
430,20559.22
431,20558.6
432,20574
433,20609.99
434,20664.03
435,20733.58
436,20815.62
437,20901.84
438,20980.89
439,21041.55
440,21073.38
441,21081.61
442,21086.1
443,21107.11
444,21164.42
445,21259.79
446,21368.07
447,21462.07
448,21514.89
449,21513.64
450,21478.84
451,21435.74
452,21409.41
453,21419.36
454,21463.95
455,21536.41
456,21630.06
457,21736.91
458,21840.7
459,21922.04
460,21961.67
461,21943.08
462,21876.48
463,21787.81
464,21702.99
465,21646.81
466,21625.94
467,21631.48
468,21654.05
469,21684.51
470,21718.4
471,21757.04
472,21802.12
473,21855.24
474,21910.99
475,21951.59
476,21958.15
477,21911.91
478,21807.9
479,21675.07
480,21547.43
481,21458.74
482,21430.65
483,21442.94
484,21466.26
485,21471.49
486,21437.94
487,21385.58
488,21346.78
489,21353.63
490,21431.07
491,21556.32
492,21686.89
493,21780.55
494,21800.2
495,21754.66
496,21677.76
497,21603.36
498,21563.05
499,21561.62
500,21585.13
501,21619.38
502,21650.66
503,21673.53
504,21689.72
505,21701.2
506,21709.87
507,21715.77
508,21716.95
509,21711.4
510,21697.22
511,21677.15
512,21660.04
513,21655.05
514,21671.2
515,21711.07
516,21767.31
517,21831.71
518,21896.16
519,21950.67
520,21981.91
521,21976.26
522,21920.25
523,21811.65
524,21671.95
525,21525.6
526,21396.82
527,21303.29
528,21246.96
529,21227.41
530,21244.25
531,21294.63
532,21369.07
533,21457.03
534,21548.03
535,21633.16
536,21708.13
537,21769.53
538,21814.01
539,21841.17
540,21860.58
541,21883.75
542,21922.16
543,21982.86
544,22057.6
545,22134.83
546,22203.04
547,22253.47
548,22287.27
549,22307.9
550,22318.78
551,22322.74
552,22320.26
553,22311.26
554,22295.68
555,22275.78
556,22262.94
557,22270.68
558,22312.43
559,22395.29
560,22502.08
561,22609.84
562,22695.74
563,22742.87
564,22756.13
565,22745.58
566,22721.21
567,22693.32
568,22673.71
569,22674.39
570,22707.29
571,22777.92
572,22869.73
573,22961.56
574,23032.41
575,23068.01
576,23075.35
577,23065.56
578,23049.73
579,23038.65
580,23042.54
581,23071.44
582,23135.29
583,23234.03
584,23341.54
585,23427.65
586,23462.47
587,23434.43
588,23374.04
589,23317.53
590,23300.75
591,23339.66
592,23410.22
593,23483.74
594,23531.95
595,23543.44
596,23536
597,23530.27
598,23546.45
599,23590.44
600,23647.03
601,23699.41
602,23731.21
603,23736.99
604,23724.84
605,23703.66
606,23682.11
607,23664.8
608,23652.19
609,23644.49
610,23642.44
611,23654.94
612,23697.76
613,23786.81
614,23935.29
615,24124.16
616,24312.68
617,24459.95
618,24530.33
619,24534.02
620,24505.54
621,24479.42
622,24483.98
623,24507.21
624,24520.63
625,24495.9
626,24412.05
627,24283.77
628,24136.62
629,23996
630,23881.49
631,23792.2
632,23722.68
633,23667.49
634,23621.01
635,23577.03
636,23529.29
637,23471.68
638,23409.73
639,23370.76
640,23384.35
641,23479.11
642,23650.06
643,23846.89
644,24016.35
645,24107.68
646,24117.4
647,24087.91
648,24063.19
649,24083.8
650,24149.34
651,24231.39
652,24301.19
653,24334.16
654,24337.97
655,24335.41
656,24349.21
657,24395.23
658,24455.04
659,24499.55
660,24499.88
661,24440.31
662,24347.34
663,24255.81
664,24200.28
665,24199.63
666,24240.47
667,24305.45
668,24377.47
669,24445.13
670,24504.72
671,24553.15
672,24587.45
673,24607.82
674,24617.23
675,24618.69
676,24614.79
677,24603.74
678,24581.33
679,24543.33
680,24485.34
681,24401.92
682,24287.27
683,24135.64
684,23949.44
685,23757.48
686,23593.84
687,23492.21
688,23468.79
689,23506.29
690,23583.74
691,23680.58
692,23785.75
693,23899.14
694,24021.25
695,24152.11
696,24285.6
697,24411.34
698,24518.95
699,24601.17
700,24671.41
701,24751.33
702,24862.51
703,25013.65
704,25168.29
705,25280.17
706,25303.51
707,25225.93
708,25099.52
709,24983.53
710,24935.24
711,24966.7
712,25040.41
713,25116.55
714,25158.25
715,25159.05
716,25131.21
717,25087.24
718,25038.71
719,24992.81
720,24955.23
721,24931.65
722,24926.04
723,24937.98
724,24966.25
725,25009.69
726,25066.66
727,25134.89
728,25212.1
729,25295.91
730,25383.07
731,25469.63
732,25551.66
733,25627.08
734,25705.57
735,25801.37
736,25928.63
737,26092.71
738,26272.62
739,26442.56
740,26577.2
741,26668.51
742,26734.14
743,26793.76
744,26864.88
745,26934.68
746,26967.45
747,26927.06
748,26787.48
749,26582.52
750,26367.96
751,26199.34
752,26107.85
753,26059.34
754,26008.9
755,25912.75
756,25762.33
757,25594.3
758,25448.17
759,25359.98
760,25329.04
761,25331.75
762,25344.27
763,25347.48
764,25343.26
765,25339.46
766,25343.9
767,25359.71
768,25380.92
769,25400.47
770,25411.56
771,25411.65
772,25402.2
773,25384.75
774,25361.24
775,25336.05
776,25314.57
777,25302.16
778,25301.34
779,25306.63
780,25311.2
781,25308.44
782,25299.98
783,25297.38
784,25312.83
785,25357.02
786,25427.1
787,25512.8
788,25603.8
789,25690.3
790,25764.14
791,25817.58
792,25843.04
793,25841.69
794,25827.57
795,25815.73
796,25819.83
797,25838.62
798,25861.27
799,25876.83
800,25876.88
801,25863.26
802,25840.39
803,25812.72
804,25784.44
805,25759.36
806,25741.25
807,25733.78
808,25739.13
809,25758.52
810,25793.17
811,25842.22
812,25896.3
813,25943.83
814,25973.4
815,25982.48
816,25982.66
817,25986.77
818,26007.05
819,26050.18
820,26119.16
821,26216.93
822,26343.82
823,26490.17
824,26643.99
825,26793.33
826,26927.63
827,27038.31
828,27116.96
829,27155.87
830,27153.71
831,27112.71
832,27035.15
833,26925.39
834,26794.54
835,26654.97
836,26519
837,26397.98
838,26302.18
839,26241.78
840,26224.05
841,26235.76
842,26254.69
843,26258.71
844,26235.43
845,26195.53
846,26152.97
847,26121.28
848,26106.46
849,26107.97
850,26125.02
851,26157.1
852,26204.89
853,26269.41
854,26351.63
855,26446.49
856,26539.04
857,26613.48
858,26655.53
859,26666.22
860,26655.66
861,26634.02
862,26607.31
863,26568.62
864,26508.62
865,26418.61
866,26306.55
867,26197.84
868,26118.65
869,26089.71
870,26100.43
871,26129.04
872,26153.86
873,26159.28
874,26140.65
875,26094.5
876,26019.05
877,25931.22
878,25859.61
879,25832.88
880,25865.51
881,25928.54
882,25984.7
883,25998.31
884,25967.77
885,25925.6
886,25905.8
887,25933.94
888,25992.35
889,26049.4
890,26073.9
891,26057.6
892,26028.1
893,26016.03
894,26047.97
895,26116.27
896,26195.73
897,26261.08
898,26295.32
899,26301
900,26283.53
901,26248.45
902,26203.17
903,26156.55
904,26117.45
905,26093.49
906,26087.83
907,26102.64
908,26139.71
909,26191.44
910,26240.05
911,26267.3
912,26260.4
913,26235.31
914,26217.48
915,26231.88
916,26283.68
917,26348.48
918,26399.56
919,26414.4
920,26402.04
921,26385.94
922,26389.51
923,26423.21
924,26471.77
925,26516.86
926,26541.42
927,26541.21
928,26519.74
929,26480.66
930,26431.2
931,26388.06
932,26369.43
933,26391.73
934,26445.4
935,26500.97
936,26528.55
937,26509.99
938,26466.46
939,26427.2
940,26420.2
941,26448.53
942,26491.78
943,26528.7
944,26543.06
945,26539.39
946,26527.55
947,26517.17
948,26511.17
949,26505.1
950,26494.1
951,26475.89
952,26460.76
953,26462.91
954,26496.04
955,26557.07
956,26621.45
957,26663.25
958,26662.66
959,26634.48
960,26605.76
961,26603.11
962,26633.37
963,26675.1
964,26704.76
965,26703.43
966,26681.83
967,26662.24
968,26666.73
969,26703.98
970,26761.95
971,26826.78
972,26886.89
973,26945.9
974,27013.86
975,27100.69
976,27207.06
977,27318.42
978,27418.89
979,27496.65
980,27569.36
981,27667.54
982,27821.46
983,28041.52
984,28304.79
985,28585.22
986,28861.5
987,29146.3
988,29467.4
989,29852.17
990,30300.41
991,30765.93
992,31198.3
993,31557.71
994,31879.81
995,32232.88
996,32684.35
997,33243.22
998,33824.47
999,34334.72
1000,34689
1001,34858.48
1002,34837.47
1003,34620.64
1004,34217.97
1005,33662.64
1006,32989.75
1007,32234.46
1008,31439.14
1009,30657.21
1010,29942.89
1011,29344.57
1012,28871.69
1013,28517.64
1014,28275.73
1015,28135.02
1016,28077.86
1017,28085.97
1018,28142.22
1019,28236.89
1020,28363.45
1021,28515.4
1022,28687.97
1023,28879.06
1024,29086.86
1025,29306.24
1026,29509.57
1027,29659.84
1028,29720.47
1029,29677.87
1030,29553.94
1031,29373.58
1032,29161.55
1033,28941.78
1034,28737.87
1035,28573.05
1036,28453.8
1037,28362.8
1038,28280.91
1039,28192.41
1040,28100.84
1041,28016.46
1042,27949.35
1043,27903.09
1044,27873
1045,27853.91
1046,27841.71
1047,27837.37
1048,27843.44
1049,27862.15
1050,27889.05
1051,27912.5
1052,27920.48
1053,27906.21
1054,27883.14
1055,27869.62
1056,27883.18
1057,27926.08
1058,27987.3
1059,28055.37
1060,28121.24
1061,28183.05
1062,28240.31
1063,28292.21
1064,28333.63
1065,28356.59
1066,28353.07
1067,28322.34
1068,28279.94
1069,28243.64
1070,28228.9
1071,28231.28
1072,28236.24
1073,28229.38
1074,28208.84
1075,28193.2
1076,28202.89
1077,28253.29
1078,28330.95
1079,28412.12
1080,28473.72
1081,28511.59
1082,28543.22
1083,28587.26
1084,28654.61
1085,28727.14
1086,28779.99
1087,28790.48
1088,28769.68
1089,28754.7
1090,28783.23
1091,28870.03
1092,28975.62
1093,29052.63
1094,29060.54
1095,29015.38
1096,28961.17
1097,28941.61
1098,28970.57
1099,29017.94
1100,29050.07
1101,29039.97
1102,28991.95
1103,28919.57
1104,28836.66
1105,28761.08
1106,28714.38
