configuration,representation,kl_schedule,run_seed,epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,validation_loss,validation_reconstruction_loss,validation_kl_unnormalized,validation_kl_normalized
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,1,0.0,0.09473643881200955,0.09473643881200955,22.887235830951212,0.01633635676727424,0.1472568703325171,0.07896433151081989,95.6778509842722,0.06829254174466252
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,2,0.08,0.0850866377748401,0.07787428115377364,126.30640396219215,0.09015446392733201,0.18332728367102774,0.05773030750845608,175.96137631064968,0.1255969852324409
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,3,0.16,0.0723978066878603,0.05786965192844536,127.21214274223277,0.09080095841701126,0.08957331102145345,0.04921274353799067,56.54515509354441,0.04036056751858987
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,4,0.24,0.05702972471319287,0.04882099296872979,47.91847605421054,0.034203052144333,0.0680401432671045,0.039645151048898694,39.781386606316815,0.028394994008791447
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,5,0.32,0.046534014927433025,0.03933005760244976,31.539828041531393,0.022512368337995286,0.053104530000372935,0.03508800083869382,25.241157511660926,0.018016529273134137
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,6,0.4,0.04230375735964996,0.03562787293598352,23.38228499810427,0.016689710919417754,0.045812407763380754,0.03464868751011397,15.640372386731599,0.01116372047589693
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,7,0.48,0.039836312736699124,0.03517234411756724,13.612961200688849,0.009716603283860707,0.041916109307816155,0.035118820282973744,9.523004853098016,0.006797291115701653
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,8,0.56,0.03897503936132848,0.035514392748179024,8.657795694490142,0.006179725691998674,0.04038140973762462,0.03513791706216963,7.346133954901444,0.005243493186938932
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,9,0.64,0.037997482159477194,0.03486220353585205,6.863321718001208,0.004898873460386301,0.03928846803150679,0.03496165726529925,6.061860747086374,0.0043268099550937715
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,10,0.72,0.037796792580394555,0.03497959172587521,5.481801402489871,0.003912777589214754,0.03866377810114308,0.034863591743142984,5.324061981000399,0.003800186995717629
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,11,0.8,0.03716665521165393,0.03424428117196292,5.117808443031564,0.003652968196310895,0.03799294052939666,0.03435532333035218,5.096301159105803,0.0036376168159213437
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,12,0.88,0.037027950096406685,0.03378115932376969,5.169039186262927,0.003689535464855765,0.03675569084129835,0.033566541891348986,4.467998178381669,0.0031891493064822763
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1182644206,13,0.96,0.03621888276658311,0.03269744546010794,5.1390979053168895,0.0036681641008685863,0.03605966426824268,0.03305739572173671,4.206180075595253,0.003002269861238582
