sample_id,true_pair,pair,residual_norm,residual_rel,left_sum,right_sum,minor_share,baseline_coef_sum,rank
existing/36,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,1995.6496288582705,0.23645196943856592,0.5684737600875651,1.3799810298958328,0.291756197274722,248.61026768350567,1
existing/36,6-mercapto-1-hexanol + pyridine,pyridine + toluene,2304.2589443698303,0.27301714570226887,1.4115116127805085,0.16143691373637517,0.10263331000014113,357.43216475718964,2
existing/36,6-mercapto-1-hexanol + pyridine,6-mercapto-1-hexanol + pyridine,2340.378864078989,0.27729676774999257,1.2987831184316598,1.465814841481334,0.4697909559594932,0.0,3
existing/36,6-mercapto-1-hexanol + pyridine,"1,9-nonanedithiol + pyridine",2372.03883216673,0.2810479581886626,0.48923902417223486,1.4632410325229117,0.2505731223703722,78.33586327370239,4
existing/36,6-mercapto-1-hexanol + pyridine,1-undecanethiol + pyridine,2417.6808522239285,0.2864557940009306,0.5799484624239113,1.4690848812443023,0.2830351512901175,124.49714182084057,5
existing/37,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,1991.769884855911,0.23522117152689648,0.5672566880698964,1.3859764310110365,0.29041934755669147,248.1353367967776,1
existing/37,6-mercapto-1-hexanol + pyridine,pyridine + toluene,2298.2920366703925,0.27142038319133205,1.4173343265917546,0.16139596742805493,0.10223150087086852,356.2893417213707,2
existing/37,6-mercapto-1-hexanol + pyridine,6-mercapto-1-hexanol + pyridine,2331.6068740228793,0.2753547508765061,1.3022802021105957,1.4717132136565823,0.4694604517473112,0.0,3
existing/37,6-mercapto-1-hexanol + pyridine,"1,9-nonanedithiol + pyridine",2364.5998455337585,0.2792511073130349,0.49643779848430514,1.4690723792575715,0.252574524469976,75.52833464094435,4
existing/37,6-mercapto-1-hexanol + pyridine,1-undecanethiol + pyridine,2408.9294879812633,0.2844862855879714,0.5834802861250106,1.4749046777512111,0.2834650934419738,120.47397171316855,5
existing/38,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,2005.6412700301903,0.23581952663413408,0.5641412638884229,1.3939400435744531,0.2881092126961283,240.3447533592448,1
existing/38,6-mercapto-1-hexanol + pyridine,pyridine + toluene,2306.5674383548276,0.27120185927085305,1.42507659551531,0.16065186222375213,0.10131107973726403,347.70165016565403,2
existing/38,6-mercapto-1-hexanol + pyridine,6-mercapto-1-hexanol + pyridine,2340.324149063442,0.275170909797975,1.29167144287618,1.4789895085875118,0.4661961407415607,0.0,3
existing/38,6-mercapto-1-hexanol + pyridine,"1,9-nonanedithiol + pyridine",2372.5674150754,0.27896201234542306,0.49369570273907026,1.4765797466398447,0.25057192023300406,68.70180192078774,4
existing/38,6-mercapto-1-hexanol + pyridine,1-undecanethiol + pyridine,2417.3669326398917,0.2842294553240655,0.5789060488154801,1.482375537848037,0.28084763021254294,114.47890466893686,5
existing/39,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,1979.295494873678,0.2330718974346822,0.5592682947960167,1.3939789779605456,0.2863274417920732,243.31897262966123,1
existing/39,6-mercapto-1-hexanol + pyridine,pyridine + toluene,2281.5476221314398,0.2686635900273699,1.4250579356540831,0.15865193076417525,0.10017739620634215,350.622469782615,2
existing/39,6-mercapto-1-hexanol + pyridine,6-mercapto-1-hexanol + pyridine,2309.4148988836732,0.2719451005879721,1.2873121140372668,1.4783071164154076,0.46546975804261204,0.0,3
existing/39,6-mercapto-1-hexanol + pyridine,"1,9-nonanedithiol + pyridine",2341.812460206826,0.2757600747085117,0.49170696536383074,1.4758866112812405,0.24990270917736304,70.81550946799203,4
existing/39,6-mercapto-1-hexanol + pyridine,1-undecanethiol + pyridine,2385.5348686893985,0.28090860595704964,0.5781506866907028,1.4816640633508982,0.28068091398935047,115.14849884467196,5
existing/40,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,1978.5386004916454,0.23312304889101357,0.5649369343994841,1.3913589035896148,0.2887788868272097,242.21135365617153,1
existing/40,6-mercapto-1-hexanol + pyridine,pyridine + toluene,2285.153436660189,0.2692502113457,1.4226394559345306,0.16058852996102227,0.1014310834520045,350.133503100144,2
existing/40,6-mercapto-1-hexanol + pyridine,6-mercapto-1-hexanol + pyridine,2318.9946695322733,0.27323758434080386,1.2928781604737547,1.4765679164886383,0.4668363725252066,0.0,3
existing/40,6-mercapto-1-hexanol + pyridine,"1,9-nonanedithiol + pyridine",2352.471022410488,0.2771819650300568,0.4928397078541772,1.4741276043875657,0.25055815863672876,71.9246013272081,4
existing/40,6-mercapto-1-hexanol + pyridine,1-undecanethiol + pyridine,2393.8720298293174,0.28206007510293524,0.5823119408819873,1.4799273528968668,0.2823687545079575,114.09907462393707,5
existing/41,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,1985.147304158256,0.23390713300507845,0.5649285392345925,1.390918830464966,0.2888408103752408,244.50690028152445,1
existing/41,6-mercapto-1-hexanol + pyridine,pyridine + toluene,2294.8535007039627,0.27039938139197117,1.4225052292133327,0.1596988494499922,0.10093441901932636,353.69399248874834,2
