sample_id,true_pair,best_pair,best_residual_rel,second_pair,second_residual_rel,true_pair_rank,true_pair_residual_rel,best_vs_true_delta,true_minor_share,best_minor_share
existing/70,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23542157782731923,pyridine + toluene,0.2716370665610182,3,0.2755843119189421,0.04016273409162288,0.46717633463365205,0.28964813524046346
existing/71,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.2353222800251389,pyridine + toluene,0.2718306021489078,3,0.2763591086468372,0.0410368286216983,0.46734385524850836,0.29075305368242377
existing/265,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08450179065884778,1-undecanethiol + meoh,0.08651201972897071,1,0.08450179065884778,0.0,0.1332690772153665,0.1332690772153665
existing/266,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07833808840757729,1-undecanethiol + meoh,0.08281795232978667,1,0.07833808840757729,0.0,0.13735186941322228,0.13735186941322228
existing/267,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08912811247380586,1-undecanethiol + meoh,0.09643969138867993,1,0.08912811247380586,0.0,0.1051507032763977,0.1051507032763977
existing/268,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08556216626879211,1-undecanethiol + meoh,0.09173729599606782,1,0.08556216626879211,0.0,0.09927245990070768,0.09927245990070768
existing/269,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08088864802766638,1-dodecanethiol + tris(2-ethylhexyl) phosphate,0.08723660612340997,1,0.08088864802766638,0.0,0.09248308859144981,0.09248308859144981
existing/270,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.0779501551687208,1-dodecanethiol + tris(2-ethylhexyl) phosphate,0.084361263759029,1,0.0779501551687208,0.0,0.09689604982345207,0.09689604982345207
existing/271,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09580038723127167,1-undecanethiol + meoh,0.1022824756194721,1,0.09580038723127167,0.0,0.1220978595740216,0.1220978595740216
existing/272,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09265297704344816,1-undecanethiol + meoh,0.09647127450148522,1,0.09265297704344816,0.0,0.1400918304065499,0.1400918304065499
existing/273,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08231856421696399,1-undecanethiol + meoh,0.0900197549356142,1,0.08231856421696399,0.0,0.11766546020142936,0.11766546020142936
existing/274,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08805589450773345,1-undecanethiol + meoh,0.09676028593631746,1,0.08805589450773345,0.0,0.12361667934099753,0.12361667934099753
existing/275,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.10070375821491019,1-undecanethiol + meoh,0.10336319741595483,1,0.10070375821491019,0.0,0.1445328165246128,0.1445328165246128
existing/276,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08766216326900465,1-undecanethiol + meoh,0.09381099745360479,1,0.08766216326900465,0.0,0.14140740465730064,0.14140740465730064
existing/277,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08045102295861205,1-undecanethiol + meoh,0.08784638747145626,1,0.08045102295861205,0.0,0.13354925845952806,0.13354925845952806
existing/278,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08300563064110804,1-undecanethiol + meoh,0.09081105233961745,1,0.08300563064110804,0.0,0.12083999126195828,0.12083999126195828
existing/279,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07791380308898956,1-undecanethiol + meoh,0.08531931759290941,1,0.07791380308898956,0.0,0.11457062494105057,0.11457062494105057
existing/280,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08338855652532721,1-undecanethiol + meoh,0.09039680036616508,1,0.08338855652532721,0.0,0.11776497421447368,0.11776497421447368
existing/281,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09147373707298731,1-undecanethiol + meoh,0.09349403534689775,1,0.09147373707298731,0.0,0.1320205561240024,0.1320205561240024
existing/282,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.092899433327834,1-undecanethiol + meoh,0.0969370188201782,1,0.092899433327834,0.0,0.13796573468479256,0.13796573468479256
existing/283,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09833252243668342,1-undecanethiol + meoh,0.10438209730171454,1,0.09833252243668342,0.0,0.14658594913133932,0.14658594913133932
existing/284,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.0825757866950535,1-undecanethiol + meoh,0.08919712923483634,1,0.0825757866950535,0.0,0.13870211927258472,0.13870211927258472
existing/285,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08248090278325694,1-undecanethiol + meoh,0.08855516814889787,1,0.08248090278325694,0.0,0.14604825247297434,0.14604825247297434
existing/286,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08874285584590125,1-undecanethiol + meoh,0.09881588792162202,1,0.08874285584590125,0.0,0.14500939465847956,0.14500939465847956
existing/287,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07983111493115307,1-undecanethiol + meoh,0.08696547420177626,1,0.07983111493115307,0.0,0.14458225279286896,0.14458225279286896
existing/288,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07794662441437768,1-undecanethiol + meoh,0.08409972269375576,1,0.07794662441437768,0.0,0.13556087299657257,0.13556087299657257
existing/289,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08034850115684489,1-undecanethiol + meoh,0.08810177400365853,1,0.08034850115684489,0.0,0.1520900985175868,0.1520900985175868
existing/290,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07390077957858684,1-undecanethiol + meoh,0.08202404846338492,1,0.07390077957858684,0.0,0.14839376838189516,0.14839376838189516
existing/291,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07106606511231987,1-undecanethiol + meoh,0.0830026433608519,1,0.07106606511231987,0.0,0.15060921345859438,0.15060921345859438
existing/292,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07617922319611788,1-undecanethiol + meoh,0.08409687026865378,1,0.07617922319611788,0.0,0.1688061620942522,0.1688061620942522
existing/293,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07190464286748877,1-undecanethiol + meoh,0.08191086514896162,1,0.07190464286748877,0.0,0.17483857279632375,0.17483857279632375
existing/294,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07294345307843692,1-undecanethiol + meoh,0.08124634673832953,1,0.07294345307843692,0.0,0.19323794682642195,0.19323794682642195
existing/295,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07859492865166044,1-undecanethiol + meoh,0.08803175808995115,1,0.07859492865166044,0.0,0.23610913903006112,0.23610913903006112
existing/296,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08355760068004096,1-undecanethiol + meoh,0.09301854428836774,1,0.08355760068004096,0.0,0.2762476095516727,0.2762476095516727
existing/297,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.10451942938215196,1-undecanethiol + meoh,0.10513517079292588,1,0.10451942938215196,0.0,0.23220693513747587,0.23220693513747587
existing/298,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.10242699029216584,1-undecanethiol + meoh,0.10863706037202711,1,0.10242699029216584,0.0,0.27209749731943406,0.27209749731943406
existing/299,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07632353922012536,1-undecanethiol + meoh,0.08509013154503106,1,0.07632353922012536,0.0,0.1304792230222962,0.1304792230222962
existing/300,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07814755199342542,1-undecanethiol + meoh,0.08827307450512281,1,0.07814755199342542,0.0,0.33261558841682204,0.33261558841682204
existing/301,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08721006407587995,1-undecanethiol + meoh,0.09478446308342113,1,0.08721006407587995,0.0,0.32978258579011493,0.32978258579011493
existing/302,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09436537825507459,1-undecanethiol + meoh,0.09836408970280713,1,0.09436537825507459,0.0,0.2820924640337915,0.2820924640337915
existing/303,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.0989466253868292,1-undecanethiol + meoh,0.10371482282714144,1,0.0989466253868292,0.0,0.27693297707555214,0.27693297707555214
existing/304,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09532722209698281,1-undecanethiol + meoh,0.09944916960312356,1,0.09532722209698281,0.0,0.3661879889060453,0.3661879889060453
existing/305,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08453033630466697,1-undecanethiol + meoh,0.08987189245728794,1,0.08453033630466697,0.0,0.4491102472368937,0.4491102472368937
existing/306,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08837996535709025,1-undecanethiol + meoh,0.09580028158689226,1,0.08837996535709025,0.0,0.48697602905347637,0.48697602905347637
existing/307,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09188395616562857,1-undecanethiol + meoh,0.09732135815554115,1,0.09188395616562857,0.0,0.4833883556349421,0.4833883556349421
existing/308,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09407505979843582,1-undecanethiol + meoh,0.09816963103517957,1,0.09407505979843582,0.0,0.4395760750597251,0.4395760750597251
existing/309,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09424381869091376,1-undecanethiol + meoh,0.09907637482385849,1,0.09424381869091376,0.0,0.3989161114196789,0.3989161114196789
existing/310,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07656349877687607,1-undecanethiol + meoh,0.08420674214418244,1,0.07656349877687607,0.0,0.12658312778808548,0.12658312778808548
existing/311,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09658372590877291,1-undecanethiol + meoh,0.10092417457493427,1,0.09658372590877291,0.0,0.36488764606565915,0.36488764606565915
existing/312,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09809147298367848,1-undecanethiol + meoh,0.10046385920351715,1,0.09809147298367848,0.0,0.3412717590409359,0.3412717590409359
existing/313,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09750317048352879,1-undecanethiol + meoh,0.09900157994086066,1,0.09750317048352879,0.0,0.294376294397806,0.294376294397806
existing/314,1-dodecanethiol + meoh,1-undecanethiol + meoh,0.09970991750720752,1-dodecanethiol + meoh,0.10004056434672885,2,0.10004056434672885,0.00033064683952133134,0.27064522436531024,0.2954178713222682
existing/315,1-dodecanethiol + meoh,1-undecanethiol + meoh,0.10945186632895977,1-dodecanethiol + meoh,0.11049597501775085,2,0.11049597501775085,0.0010441086887910817,0.2642080399514652,0.2893975178879506
existing/316,1-dodecanethiol + meoh,1-undecanethiol + meoh,0.11742908570121699,1-dodecanethiol + meoh,0.11846264771534852,2,0.11846264771534852,0.001033562014131531,0.26892895940288,0.2930970100054298
existing/317,1-dodecanethiol + meoh,1-undecanethiol + meoh,0.12592608686426152,1-dodecanethiol + meoh,0.1278655240466094,2,0.1278655240466094,0.001939437182347875,0.29028247020548714,0.3149191549953479
existing/318,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.16294659614034882,1-undecanethiol + meoh,0.1642144595779831,1,0.16294659614034882,0.0,0.363978895430047,0.363978895430047
existing/319,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.15622599392820552,1-undecanethiol + meoh,0.15716167960262878,1,0.15622599392820552,0.0,0.33165307785927406,0.33165307785927406
existing/320,1-dodecanethiol + meoh,1-undecanethiol + meoh,0.16229972459934056,1-dodecanethiol + meoh,0.16262910934096056,2,0.16262910934096056,0.00032938474162000353,0.267775742410578,0.29268574994779917
existing/321,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07179512209064014,1-undecanethiol + meoh,0.08046521315476703,1,0.07179512209064014,0.0,0.1258374532571167,0.1258374532571167
existing/322,1-dodecanethiol + meoh,1-undecanethiol + meoh,0.1575359498385691,1-dodecanethiol + meoh,0.15808615089659958,2,0.15808615089659958,0.0005502010580304695,0.2567554493636622,0.2799963546656132
existing/323,1-dodecanethiol + meoh,1-undecanethiol + meoh,0.1838012050037251,1-dodecanethiol + meoh,0.18543177710391015,2,0.18543177710391015,0.0016305721001850515,0.27227483081027504,0.2995071997168504
existing/324,1-dodecanethiol + meoh,1-undecanethiol + meoh,0.21144892052461547,1-dodecanethiol + meoh,0.2130003432411442,2,0.2130003432411442,0.001551422716528722,0.3033518345298136,0.33123891974962205
existing/325,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.23604167681236682,1-undecanethiol + meoh,0.23607727147397345,1,0.23604167681236682,0.0,0.3200716921184215,0.3200716921184215
existing/326,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.2648379640590416,1-undecanethiol + meoh,0.2674144544012425,1,0.2648379640590416,0.0,0.3433710240934864,0.3433710240934864
existing/327,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.2826272723914122,1-undecanethiol + meoh,0.2866592325747859,1,0.2826272723914122,0.0,0.3973540390492823,0.3973540390492823
existing/328,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.29573060832062936,1-undecanethiol + meoh,0.2959061306718737,1,0.29573060832062936,0.0,0.427970801366868,0.427970801366868
existing/329,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.3170941128946471,1-undecanethiol + meoh,0.3222304469008843,1,0.3170941128946471,0.0,0.4446175050901887,0.4446175050901887
existing/330,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.3288319600975671,1-undecanethiol + meoh,0.3296642996550442,1,0.3288319600975671,0.0,0.4699411667061541,0.4699411667061541
existing/331,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07116860859291846,1-undecanethiol + meoh,0.08062947654084987,1,0.07116860859291846,0.0,0.13302132932259927,0.13302132932259927
existing/332,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.06901107316258077,1-undecanethiol + meoh,0.0792539016664652,1,0.06901107316258077,0.0,0.13468882322120898,0.13468882322120898
existing/333,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.06871254429763997,1-undecanethiol + meoh,0.07823588287043898,1,0.06871254429763997,0.0,0.1374469753643234,0.1374469753643234
existing/334,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07244503649305166,1-undecanethiol + meoh,0.08099849713307572,1,0.07244503649305166,0.0,0.13918417979647346,0.13918417979647346
existing/335,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.10189250895354514,1-undecanethiol + meoh,0.10200004658089161,1,0.10189250895354514,0.0,0.13376506939533442,0.13376506939533442
existing/336,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.06572579683803287,1-undecanethiol + meoh,0.07676209953700233,1,0.06572579683803287,0.0,0.14682256499993812,0.14682256499993812
existing/337,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.0715843227920857,1-undecanethiol + meoh,0.0838673913045775,1,0.0715843227920857,0.0,0.14923404804432822,0.14923404804432822
existing/338,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.06939378572150191,1-undecanethiol + meoh,0.07581148831120808,1,0.06939378572150191,0.0,0.14993454455794983,0.14993454455794983
existing/339,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.06767800055733303,1-undecanethiol + meoh,0.07914031721911388,1,0.06767800055733303,0.0,0.15620768839092625,0.15620768839092625
existing/340,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.06840866175085464,1-undecanethiol + meoh,0.07604794211730523,1,0.06840866175085464,0.0,0.1564400080951652,0.1564400080951652
existing/341,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07051866416339977,1-undecanethiol + meoh,0.07835178515291802,1,0.07051866416339977,0.0,0.15470407956523083,0.15470407956523083
existing/342,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.06727307945764198,1-undecanethiol + meoh,0.07450648175331784,1,0.06727307945764198,0.0,0.16331476750583707,0.16331476750583707
existing/343,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07266725365120741,1-undecanethiol + meoh,0.08128044774073,1,0.07266725365120741,0.0,0.15836033139881087,0.15836033139881087
existing/344,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07201676395210999,1-undecanethiol + meoh,0.07791196338193576,1,0.07201676395210999,0.0,0.14381662991560476,0.14381662991560476
existing/345,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07467924796594266,1-undecanethiol + meoh,0.08255531891553726,1,0.07467924796594266,0.0,0.14084195204945543,0.14084195204945543
existing/346,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.11592527406530825,1-undecanethiol + meoh,0.11753766465037584,1,0.11592527406530825,0.0,0.16655729182721013,0.16655729182721013
existing/347,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07309141945598326,1-undecanethiol + meoh,0.07954064571704798,1,0.07309141945598326,0.0,0.14004717604888312,0.14004717604888312
existing/348,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07459236968930016,1-undecanethiol + meoh,0.07822143329389807,1,0.07459236968930016,0.0,0.14195971142374783,0.14195971142374783
existing/349,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.0666925321355939,1-undecanethiol + meoh,0.07946710282080353,1,0.0666925321355939,0.0,0.15256993306280964,0.15256993306280964
existing/350,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07528380382001403,1-undecanethiol + meoh,0.08067824596927649,1,0.07528380382001403,0.0,0.15245498654876868,0.15245498654876868
existing/351,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07200728346640942,1-undecanethiol + meoh,0.08050208200750451,1,0.07200728346640942,0.0,0.14782090807441456,0.14782090807441456
existing/352,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.06968239858775223,1-undecanethiol + meoh,0.07975944539881187,1,0.06968239858775223,0.0,0.15886825716587138,0.15886825716587138
existing/353,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07017166265217344,1-undecanethiol + meoh,0.08130469906607782,1,0.07017166265217344,0.0,0.15760366687042263,0.15760366687042263
existing/354,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08295521301654846,1-dodecanethiol + tris(2-ethylhexyl) phosphate,0.09060346915478411,1,0.08295521301654846,0.0,0.09718079173172725,0.09718079173172725
existing/355,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08420186699047796,1-dodecanethiol + tris(2-ethylhexyl) phosphate,0.09120877434876967,1,0.08420186699047796,0.0,0.09225403465244976,0.09225403465244976
existing/356,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.0788810383275176,1-dodecanethiol + tris(2-ethylhexyl) phosphate,0.08402984122913187,1,0.0788810383275176,0.0,0.08777326455562677,0.08777326455562677
existing/357,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.09246194522201498,1-undecanethiol + meoh,0.09654637480944435,1,0.09246194522201498,0.0,0.1323136449435436,0.1323136449435436
existing/358,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08377557186841383,1-undecanethiol + meoh,0.09085726317350425,1,0.08377557186841383,0.0,0.09856825869382373,0.09856825869382373
existing/359,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08167690230111956,1-undecanethiol + meoh,0.09129428859027787,1,0.08167690230111956,0.0,0.10678376720051992,0.10678376720051992
existing/360,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08111246663202168,1-dodecanethiol + tris(2-ethylhexyl) phosphate,0.09121499161260538,1,0.08111246663202168,0.0,0.10344683769989768,0.10344683769989768
existing/361,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08183345652438323,1-undecanethiol + meoh,0.08864292910196121,1,0.08183345652438323,0.0,0.09886130601331608,0.09886130601331608
existing/362,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08605872746401708,1-undecanethiol + meoh,0.09174465750367577,1,0.08605872746401708,0.0,0.11098601387908962,0.11098601387908962
existing/363,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08401899775218984,1-dodecanethiol + tris(2-ethylhexyl) phosphate,0.09393744371023152,1,0.08401899775218984,0.0,0.10675331365721924,0.10675331365721924
existing/364,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.07759005835053275,1-undecanethiol + meoh,0.08612106637678925,1,0.07759005835053275,0.0,0.11087451028989995,0.11087451028989995
existing/365,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08093336523767031,1-undecanethiol + meoh,0.08804660903106093,1,0.08093336523767031,0.0,0.12309964648697687,0.12309964648697687
existing/366,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08597766561280759,1-undecanethiol + meoh,0.09841186532616625,1,0.08597766561280759,0.0,0.13728732258148535,0.13728732258148535
existing/367,1-dodecanethiol + meoh,1-dodecanethiol + meoh,0.08119364082917076,1-undecanethiol + meoh,0.09089233006609845,1,0.08119364082917076,0.0,0.1340951940635984,0.1340951940635984
