sample_id,true_pair,best_pair,best_residual_rel,second_pair,second_residual_rel,true_pair_rank,true_pair_residual_rel,best_vs_true_delta,true_minor_share,best_minor_share
existing/36,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23645196943856592,pyridine + toluene,0.27301714570226887,3,0.27729676774999257,0.04084479831142665,0.4697909559594932,0.291756197274722
existing/37,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23522117152689648,pyridine + toluene,0.27142038319133205,3,0.2753547508765061,0.04013357934960965,0.4694604517473112,0.29041934755669147
existing/38,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23581952663413408,pyridine + toluene,0.27120185927085305,3,0.275170909797975,0.0393513831638409,0.4661961407415607,0.2881092126961283
existing/39,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.2330718974346822,pyridine + toluene,0.2686635900273699,3,0.2719451005879721,0.038873203153289904,0.46546975804261204,0.2863274417920732
existing/40,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23312304889101357,pyridine + toluene,0.2692502113457,3,0.27323758434080386,0.040114535449790295,0.4668363725252066,0.2887788868272097
existing/41,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23390713300507845,pyridine + toluene,0.27039938139197117,3,0.27361912763171536,0.03971199462663691,0.46800432646139406,0.2888408103752408
existing/42,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23219898080655935,pyridine + toluene,0.2689117915310422,3,0.2721144368461278,0.03991545603956845,0.46698845824336976,0.28765134823895244
existing/43,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22798964236727906,pyridine + toluene,0.2638707589830821,3,0.2668532002363429,0.03886355786906384,0.46480189986762555,0.28466482461527376
existing/44,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22948239111411844,pyridine + toluene,0.26700568055232654,3,0.2703592790378636,0.040876887923745164,0.4658816784466664,0.2886155220944933
existing/45,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23020330170094908,pyridine + toluene,0.26607498532113694,3,0.2683880778656,0.03818477616465091,0.466581783532155,0.2854155795135857
existing/46,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23175151579044387,pyridine + toluene,0.26776751823630596,3,0.26995426280462753,0.03820274701418366,0.4660723014542624,0.28537178773404626
existing/47,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23431733772385122,pyridine + toluene,0.27065619704277083,3,0.2749435114884099,0.04062617376455868,0.4671865960706543,0.28995094652902026
existing/48,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23060289579589194,pyridine + toluene,0.26629700167969844,3,0.2684979211010497,0.03789502530515776,0.46717628674804973,0.28523719570133615
existing/49,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23074287380349628,pyridine + toluene,0.26756972535429485,3,0.2709061026729452,0.0401632288694489,0.4651458478397148,0.28757848931704283
existing/50,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22982487510312755,pyridine + toluene,0.26502881051045896,3,0.2665664655764399,0.03674159047331238,0.4689599200930361,0.2840514711025522
existing/51,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22767867145201132,pyridine + toluene,0.26362606608746353,3,0.26588139164894653,0.038202720196935214,0.4653641906491242,0.28370781006746937
existing/52,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22673882994818534,pyridine + toluene,0.2631984498644608,3,0.2659462895638722,0.039207459615686835,0.46385328286294936,0.28451031480244776
existing/53,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22535001165265128,pyridine + toluene,0.262650616067725,3,0.2653824121800267,0.040032400527375445,0.46421436660629717,0.28545755194687245
existing/54,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.2229286690111486,pyridine + toluene,0.2590343984073373,3,0.260414768236893,0.03748609922574442,0.46343819879772913,0.2805782522566349
existing/55,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22411760014447343,pyridine + toluene,0.2607401147496446,3,0.2620210908336815,0.03790349068920809,0.4633150655433254,0.2820907114030923
existing/56,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22362009595476137,pyridine + toluene,0.2595219130783271,3,0.26040081147668237,0.036780715521921,0.4645469475016762,0.28058122867243607
existing/57,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22409830583360335,pyridine + toluene,0.2604873989388208,3,0.26223628794189935,0.038137982108296,0.4643670694524851,0.2825034221362183
existing/58,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23593316480661297,pyridine + toluene,0.2708485995171598,3,0.2749531335289429,0.039019968722329934,0.46766223119742645,0.28818855152901324
existing/59,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22452989296236384,6-mercapto-1-hexanol + pyridine,0.2612243290649236,2,0.2612243290649236,0.03669443610255976,0.46695829721575516,0.2819021140380188
existing/60,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.22163541107417226,6-mercapto-1-hexanol + pyridine,0.25734633167472243,2,0.25734633167472243,0.03571092060055017,0.4635797182419501,0.2782121075026677
existing/61,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.21985737931697202,6-mercapto-1-hexanol + pyridine,0.2560359911116376,2,0.2560359911116376,0.03617861179466558,0.46490617060813477,0.2788381739824011
existing/62,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.2220258953338364,pyridine + toluene,0.2575303589030074,3,0.2576905420468688,0.035664646713032405,0.4647786330278851,0.27899034585545374
existing/63,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.21838040408322132,pyridine + toluene,0.25485895386625684,3,0.25500015168785384,0.03661974760463252,0.4621834567040823,0.27807642266754234
existing/64,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.21791981043258007,6-mercapto-1-hexanol + pyridine,0.2534717391399465,2,0.2534717391399465,0.0355519287073664,0.46154131369874146,0.27643867933123917
existing/65,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.2187501306355202,pyridine + toluene,0.25609329270224374,3,0.2573633068683808,0.03861317623286062,0.4622434131170437,0.28087815384188924
existing/66,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23539016455264475,pyridine + toluene,0.2723426253360434,3,0.27757694227067464,0.042186777718029894,0.46762210730012044,0.29247045165592245
existing/67,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23531404616874982,pyridine + toluene,0.2718192763446122,3,0.2757279218314908,0.04041387566274099,0.4694590184926569,0.29104828590339427
existing/68,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23535725542701963,pyridine + toluene,0.2723777149196106,3,0.27717774306067594,0.04182048763365631,0.46783976205905736,0.2921790030191691
existing/69,6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,0.23648316260333463,pyridine + toluene,0.2733669796900026,3,0.2777809119463744,0.04129774934303976,0.46652189947600303,0.2913063734574963
