stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row31,0.0037708300546604213,0.0018854150273302107,0.03303329393015367,0.7738541997312623,0.006624187699386052,7,3,2,2,1.0,0.4689543175322697,0.17372989654541016
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row33,0.0009230076652092283,0.00046150383260461415,0.03463382850194036,0.9922354946410308,0.003492058625976954,8,2,1,1,1.0,0.1906335767599277,0.006722206249833107
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row36,0.010406907383586173,0.005203453691793087,0.2496951073384054,0.4253553985503703,0.012247959921483666,61,6,4,4,2.5,1.3823465235211803,0.09126257634488866
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row37,0.010652730570925065,0.0053263652854625325,0.1519707678418437,0.7400626480042127,0.01827480726403207,82,10,5,2,2.5,3.3742292466770665,0.18658591527491808
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row38,0.003991121646283722,0.001995560823141861,0.1067495103260895,0.8916206744722138,0.009405457282638443,34,10,3,3,2.5,0.6656767665763605,0.07376798428595066
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row50,0.00604732934370573,0.003023664671852865,0.19565392469264203,0.747135125385842,0.006580783652487818,22,8,2,2,1.0,0.14036699350202517,0.03624459728598595
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row54,0.005071904955032169,0.0025359524775160846,0.027075625303439297,0.6344033356458793,0.007854343737874712,11,6,1,1,1.0,0.940276728688878,0.1543165147304535
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row64,0.002234370635264432,0.001117185317632216,0.05242676101193065,0.9736858527162687,0.008359460442193916,33,10,3,3,2.0,0.19867037178460728,0.047043848782777786
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row65,0.0046645535428187215,0.0023322767714093607,0.10054600149878035,0.8411978472774151,0.016623925229068845,73,10,4,3,2.0,1.8310543403269604,0.10228390619158745
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row177,0.021425989756775062,0.010712994878387531,0.09884148582200764,0.08144568589488745,0.05617639539231147,141,15,4,1,3.0,6.772217332422373,0.19937065243721008
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row181,0.024636942379708784,0.012318471189854392,0.12755589179888885,0.18701301523273514,0.053609155562839336,146,10,9,1,2.0,5.989467277604033,0.14112717658281326
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row188,0.004169187674859258,0.002084593837429629,0.06387788229515967,0.9456402464460192,0.021633880122431687,85,12,5,5,3.5,0.1454482267772638,0.07800820469856262
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row191,0.0014794813606001172,0.0007397406803000586,0.03856138595654906,0.989679275022543,0.005835140282454502,11,9,7,7,1.0,0.11797718628387195,0.034374011564068496
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row202,0.011212895006275354,0.005606447503137677,0.07785783659352603,0.5308030364208884,0.03401168948837689,120,12,7,5,1.5,2.097388808027093,0.21171994507312775
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row204,0.01979875470630955,0.009899377353154775,0.12372709886016842,0.34557106006496563,0.03557887377749596,128,12,3,2,2.5,3.2800195627583104,0.07234954833984375
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row223,0.001315329617479639,0.0006576648087398195,0.04496717932702326,0.988824577362991,0.002303388238802394,10,9,6,6,1.0,0.07328030275530356,0.05388891394250095
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row227,0.0054307899121614316,0.0027153949560807158,0.09895119110993211,0.9306310821412547,0.0024129629666068855,1,0,0,0,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row230,0.004663885311190265,0.0023319426555951325,0.08044608976583313,0.9461107300929004,0.004269362927214908,11,10,4,4,1.0,0.1592345529010532,0.07571183473919518
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row231,0.004154484158366246,0.002077242079183123,0.09135347225661779,0.9494334601054374,0.0021352487960497714,2,0,0,0,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row239,0.002446938007580976,0.001223469003790488,0.059518999990714055,0.9777836045559758,0.003542602237565526,11,10,6,6,1.0,0.09888232678054026,0.035089705139398575
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,session1_row242,0.0014206936301562,0.0007103468150781,0.05021178891124702,0.9887036858406819,0.0020842723270106944,4,1,0,0,0.0,0.12714925483187106,0.06500624338514172
