evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.9090909090909092,0.8944444444444444,0.8944444444444444,29,19,10,blank,0.011278683229946644,0.005639341614973322,0.13043397809447327,0.9073046833975609,0.006973931162636742,,2.0,0.279897124490675,0.08712539193220437,7.959096947410892,0.005681011382877153,0.12436088980329522,0.026774731380148596,2.1330002052600863,58,59,0.25273673318698175,-0.24727313083391483,0.03580789268016815
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.9090909090909092,0.8944444444444444,0.8944444444444444,29,19,10,blank,0.010068442636997459,0.005034221318498729,0.1283969545612865,0.910423318645787,0.006713466454453821,,2.0,0.3258623973089174,0.08623284939676523,7.983266057019698,0.005698262710221055,0.12473853214093275,0.0219030947299168,1.787980333241854,50,48,0.24996674262321653,-0.21189373971718978,0.034283578395843506
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.9090909090909092,0.8944444444444444,0.8944444444444444,29,19,10,blank,0.010134930911700141,0.0050674654558500705,0.12733550202979413,0.907280892715413,0.006547624645895486,,2.5,0.21804206125290468,0.06680239166598767,8.18524392477505,0.0058424296393826194,0.12789443632461017,0.041764673447854,1.912256351718874,56,58,0.2871465896425497,-0.2184804137860769,0.035115599632263184
strict_core,domain_and_sample,instrument,Agilent-3,111,73,domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.32913359788359786,0.33905919661733613,0.33905919661733613,73,62,11,blank,0.022243144739889698,0.011121572369944849,0.22764237464183276,0.6577482041897534,0.007519235677901381,,2.0,0.3720982888524239,0.06949008208175655,6.986177160782079,0.004986564711479,0.10915901813721998,0.06581765712560564,0.72896996076188,62,61,0.3428353232584725,-0.18733352726896604,0.05560092628002167
strict_core,domain_and_sample,instrument,Agilent-3,111,73,domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.33746693121693117,0.3545020870602266,0.3545020870602266,73,62,11,blank,0.022056162667344108,0.011028081333672054,0.22082281310862,0.668112300089445,0.0074395925669983225,,2.0,0.3144803867259313,0.10916455184633378,7.387848394013349,0.0052732679471901136,0.11543513115645858,0.07401552751633755,0.888880272065945,62,63,0.3609510719270101,-0.13720299675996903,0.04825546592473984
strict_core,domain_and_sample,instrument,Agilent-3,111,73,domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.36246693121693124,0.3948412698412698,0.3948412698412698,73,62,11,blank,0.02198700080397286,0.01099350040198643,0.22269891057202482,0.664608711934195,0.0075115060127302355,,2.5,0.3091985786067376,0.09680428705178201,7.3828286361312685,0.005269684965118679,0.11535669743955104,0.0617566203193118,0.8727176648573272,61,62,0.3543236886627262,-0.15769990397307207,0.05301596224308014
strict_core,domain_and_sample,instrument,Mira-1,433,23,domain,domain__strict_core__domain_and_sample__instrument__Mira-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.6430976430976432,0.5095238095238095,0.3057142857142857,23,23,0,,0.00876142014595368,0.00438071007297684,0.10150817546173208,0.8843149300468921,0.00900929268444393,,2.0,0.3627062306540728,0.07595163863152266,6.290692945515814,0.004490144857613,0.09829207727368455,0.006938978054488764,1.2331987768421706,29,24,0.16410128037662855,-0.22891924077218748,0.045577190816402435
strict_core,domain_and_sample,instrument,Mira-1,433,23,domain,domain__strict_core__domain_and_sample__instrument__Mira-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.6430976430976432,0.5095238095238095,0.3057142857142857,23,23,0,,0.006740215293571668,0.003370107646785834,0.0990506553792108,0.898639647531374,0.008740533736333943,,2.0,0.2511384831356449,0.05190756171941757,5.971936747895922,0.00426262437394427,0.09331151168587376,0.008780867175497222,1.57780766395425,34,29,0.18346727542520175,-0.21601235735916005,0.036402177065610886
strict_core,domain_and_sample,instrument,Mira-1,433,23,domain,domain__strict_core__domain_and_sample__instrument__Mira-1,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.6060606060606061,0.425,0.31875,23,23,0,,0.006001722329224187,0.0030008611646120936,0.09705192010476382,0.9062179647261728,0.008653638078704597,,1.5,0.2542411682099178,0.05741782486438751,6.64437988290585,0.004742598060603747,0.10381843567040391,0.0053819877004265375,1.5910558499191327,25,19,0.1645315471932127,-0.2244336549129398,0.03470101207494736
strict_core,domain_and_sample,instrument,Mira-2,363,75,domain,domain__strict_core__domain_and_sample__instrument__Mira-2,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.0,0.0,0.0,75,3,72,4_nitrophenol|ethanol|ethyl_paraoxon,0.0250883800736078,0.0125441900368039,0.19045409190715556,0.5223889734948604,0.006581498913066337,,2.5,0.3620938618658238,0.07997486088424921,5.6008493044688885,0.00399775110954239,0.08751327038232638,0.011935262943623525,1.2379634089345495,39,37,0.17624626163484208,-0.1579370690338237,0.04173295572400093
