stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.4583333333333333,0.37222222222222223,0.37222222222222223,15,15,0,,0.02561435488623198,0.01280717744311599,0.14106375841361637,0.40042547662348266,0.04888180936950621,,2.0,3.2265573326825807,0.15348567813634872,6.4326095942622095,0.004591441537660392,0.10050952491034702,0.007900713792816698,1.1770471913138534,28,26,0.15447401652119577,-0.29128655786856444,0.0546095110476017
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.5555555555555556,0.5025252525252525,0.5025252525252525,15,15,0,,0.023172094431711213,0.011586047215855606,0.1418669257174249,0.40561705047172814,0.04895424998630933,,2.0,3.2796632556139933,0.16035955073311925,6.39335838092838,0.004563424968542741,0.09989622470200593,0.010007810090050792,1.190633075547886,24,32,0.15802734894253564,-0.2875251018755686,0.054361969232559204
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.627431155528573,0.6124688611144721,0.6124688611144721,119,119,0,,0.009585635596012556,0.004792817798006278,0.09753935595525551,0.894164963663033,0.016398486965438195,0.4197952218430034,2.0,0.30105825364073646,0.07787347846897319,6.331394688810226,0.004519196780021575,0.09892804201265976,0.011436495977242266,1.6137161129346198,53,35,0.1840206910595066,-0.20356539062414744,0.0342763289809227
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.6516240134497736,0.6468748918915032,0.6468748918915032,119,119,0,,0.007808314010483614,0.003904157005241807,0.08422973527354095,0.9146391409157272,0.01649367864328981,0.4527872582480091,2.0,0.2665633555783374,0.07410290080588311,7.329894315994,0.00523190172447823,0.11452959868740625,0.012301051575815031,1.6893213249371564,53,39,0.195885534052045,-0.21797243410495667,0.03743340075016022
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.6464801366770966,0.6344815196428099,0.6344815196428099,119,119,0,,0.006705749561796338,0.003352874780898169,0.08223628124187511,0.9239886849506027,0.016279533755171858,0.4311717861205916,2.0,0.24426465293090854,0.06421099603176117,6.528050590789117,0.00465956501840765,0.10200079048107993,0.004251565093233224,1.5110959388166314,21,16,0.15267450063305552,-0.20223077285031116,0.037237320095300674
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.6606302246298978,0.6503478067994198,0.6503478067994198,119,119,0,,0.006457515871175229,0.0032287579355876144,0.07668412652119029,0.9528252605516748,0.01550098508999284,0.4807370184254606,2.0,0.3473861000338332,0.07944389479234815,8.169044863641412,0.005830867140357896,0.1276413259943971,0.006920045214153257,1.7000764722924087,34,19,0.16672626528656445,-0.2530229495503308,0.039833515882492065
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.6528921293918025,0.644517778127618,0.644517778127618,119,119,0,,0.007146295982292138,0.003573147991146069,0.07990902030355372,0.9471822895398876,0.015581429485186475,0.47738693467336685,2.0,0.36445012354289874,0.07100540667306632,8.027349632459478,0.00572972850282618,0.12542733800717937,0.009685876580269728,1.7575465510508474,43,32,0.17177795937084953,-0.24246019780044384,0.03967086225748062
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.6717130559317549,0.6585475447937753,0.6585475447937753,119,119,0,,0.00799863164338255,0.003999315821691275,0.08033073255984716,0.9518270952399841,0.01563330748105762,0.4824120603015075,2.0,0.3293484432026134,0.0770389586687088,8.211402667014127,0.005861101118496879,0.12830316667209574,0.007132110966148535,1.8141165437712719,35,25,0.17219432348905925,-0.2570575034126742,0.04024824500083923
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.6626441191658584,0.6477596160415385,0.6477596160415385,104,104,0,,0.004822264950268754,0.002411132475134377,0.07841612763926223,0.9396950530221115,0.011952132595436217,0.6011787819253438,2.0,0.2535234613984536,0.0655162800103426,7.668343763668142,0.005473478774923727,0.1198178713073147,0.018081072198693128,1.325387721555419,60,52,0.2180637137503232,-0.2477432887547124,0.03602418676018715
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.6598365402713229,0.6338417901242294,0.6338417901242294,104,104,0,,0.01161700640381529,0.005808503201907645,0.0852561022819116,0.930385668473558,0.012394813537940974,0.6090373280943026,2.0,0.2245584825015901,0.0641608398873359,7.46341473195552,0.005327205376128137,0.11661585518680499,0.014752583986499514,1.6090622979900193,46,43,0.19870215566213537,-0.23155515571573154,0.03946450725197792
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.6578385382733208,0.6361337748753791,0.6361337748753791,104,104,0,,0.005855527307946273,0.0029277636539731364,0.08016308671736917,0.9388836958346395,0.012053960524719519,0.6345776031434185,2.0,0.1936405957455183,0.06260879337787628,7.9936823260808145,0.005705697591777884,0.12490128634501274,0.013789946482161038,1.2963031158687284,55,44,0.22337320580577605,-0.25608651112361697,0.03967766463756561
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.6542177629134152,0.6400475827249282,0.6400475827249282,104,104,0,,0.006159856021476484,0.003079928010738242,0.07454807983383793,0.9635481354813321,0.01088724283325025,0.6930379746835443,2.0,0.2847342393749217,0.0669100470840931,8.745329348404876,0.0062422051023589414,0.13664577106882614,0.015579147909864654,1.843016571919198,61,52,0.22117493875344743,-0.2745311762705394,0.04084860906004906
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.645199003894656,0.6419671062528204,0.6419671062528204,104,104,0,,0.006467536271352705,0.0032337681356763527,0.07614309834966884,0.9594763099370383,0.010974304407166284,0.7183544303797469,2.0,0.2526579136600909,0.07021776027977467,8.090385074351014,0.005774721680478954,0.1264122667867346,0.012844038788566757,1.6396215836048174,56,44,0.2121873442731694,-0.24299717283654096,0.04455936327576637
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.675113533809186,0.6624319483572455,0.6624319483572455,104,104,0,,0.006674756480510461,0.0033373782402552304,0.0765192677871782,0.9582718290776775,0.010953393053783558,0.7183544303797469,2.0,0.2394756151361412,0.07434749067761004,8.0982148413506,0.005780310379265239,0.12653460689610313,0.01712707404280627,1.4676812229450393,58,48,0.2199440703240699,-0.2609277926641742,0.0447380505502224
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.2638888888888889,0.21666666666666667,0.21666666666666667,15,15,0,,0.018328918097461396,0.009164459048730698,0.11129812246412502,0.3945213099266016,0.0465378078609425,0.10845986984815618,2.0,4.150166711399169,0.11014533042907715,5.471566612915461,0.003905472243337231,0.08549322832680407,0.011885327005874427,1.462828469871763,25,40,0.16023670236450396,-0.26096307536281527,0.05425707995891571
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.2638888888888889,0.20000000000000004,0.20000000000000004,15,15,0,,0.05685953404425635,0.028429767022128176,0.11681434366860938,0.2856981577855382,0.04718715191211197,0.13665943600867678,3.0,3.0040218374106944,0.14591793715953827,4.8938394711494935,0.0034931045475728004,0.07646624173671088,0.008752747048208533,1.315518397402013,20,30,0.12568152500025462,-0.24880831780319568,0.06316161155700684
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.2222222222222222,0.13333333333333333,0.1142857142857143,15,15,0,,0.020841737711605437,0.010420868855802718,0.11152436881156717,0.3812719678289995,0.04665261438212597,0.1019522776572668,2.0,4.169297603403523,0.12085503339767456,6.215199854622459,0.004436259710651291,0.09711249772847591,0.013232348345129456,1.144613701982616,21,39,0.18224244380630808,-0.2885285744646884,0.05383502319455147
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.19444444444444442,0.13095238095238096,0.11224489795918367,15,15,0,,0.026792730201027324,0.013396365100513662,0.14052228155894397,0.43226195320307226,0.048244404417540264,0.10905349794238683,2.0,3.2362974547665804,0.14481066167354584,6.332491000075341,0.004519979300553419,0.09894517187617721,0.011521540696588398,1.4906014619051058,32,34,0.16112772999646646,-0.3099979840190523,0.05437464267015457
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.24999999999999997,0.25,0.21428571428571427,15,15,0,,0.028419035430351167,0.014209517715175583,0.14309597457046766,0.40974341554885324,0.04844281952504701,0.11934156378600823,3.0,5.576858320692271,0.13925869995728135,5.035258110881704,0.003594045760800645,0.07867590798252663,0.01020275631724083,0.9287764392178194,28,32,0.1435485092707192,-0.25349001148115347,0.0649259090423584
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.3055555555555555,0.26587301587301587,0.227891156462585,15,15,0,,0.02836443487828889,0.014182217439144445,0.1432218357911557,0.41847350700413777,0.04837944507756315,0.10905349794238683,2.5,3.3249472925181793,0.16754057258367538,5.516060347639807,0.0039372307977443306,0.08618844293187197,0.014432361315773506,1.0014296398393419,33,36,0.1461300654592757,-0.28941224838939283,0.06012529134750366
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.7594954648526077,0.705220509256334,0.705220509256334,117,117,0,,0.008577335158885596,0.004288667579442798,0.08316489960725564,0.9021274886180829,0.02292356987673647,0.3181484202792065,2.0,0.6159264775381481,0.07707260531606153,7.301875431725397,0.005211902520860383,0.11409180362070932,0.009202284851831062,1.4391852786444082,43,30,0.17595852456885502,-0.23459441229141584,0.038292109966278076
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.7576530612244897,0.704281725334357,0.704281725334357,117,117,0,,0.009114089767944662,0.004557044883972331,0.08453995011694262,0.8941472406176337,0.023010598487286916,0.3218221895664952,2.0,0.6351525652497982,0.07814081013202667,7.107971739369875,0.005073498743304693,0.11106205842765432,0.010726282799971024,1.1442922642567461,47,33,0.1951763594599123,-0.2276259797715719,0.04500000923871994
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.7467403628117913,0.6964168222788913,0.6964168222788913,117,117,0,,0.012699339321849527,0.006349669660924763,0.09854802640382748,0.8337959896137817,0.023023530449470902,0.2887582659808964,2.0,0.576603696877409,0.08559912443161011,6.494108916694143,0.004635338270302743,0.10147045182334598,0.010420426280801741,1.7126677984710292,43,33,0.17674745425332827,-0.2100840571484005,0.03686721995472908
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.6907596371882087,0.6394085376573123,0.6394085376573123,117,117,0,,0.013138790792311396,0.006569395396155698,0.07837281957870881,0.9333434931371163,0.019824770719952263,0.44661921708185054,2.0,0.6561435993853234,0.07983652502298355,8.368149690428705,0.005972983362190367,0.13075233891294855,0.007019003806773097,1.8016275069927548,29,22,0.17781489057034555,-0.270548697623943,0.04731267690658569
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.6867063492063492,0.6485701153748928,0.6485701153748928,117,117,0,,0.00824306672189579,0.004121533360947895,0.07404127895263896,0.9424936790224804,0.019296905690040448,0.43238434163701067,2.0,0.6693433479377124,0.09520329267252237,7.835338413931157,0.0055926755274312324,0.12242716271767431,0.010072138118428393,1.784523765631534,47,32,0.1743629294893471,-0.24970705854102454,0.04430311918258667
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.7092403628117914,0.6733921453088595,0.6733921453088595,117,117,0,,0.008845256471131092,0.004422628235565546,0.07420274218331373,0.9405058012984362,0.019432144137586763,0.44661921708185054,2.0,0.596714243783802,0.09449162590317428,7.758195977298678,0.0055376131172724325,0.12122181214529185,0.008580672787399721,1.463605164204851,43,30,0.17272782704231238,-0.2430065260576946,0.04485272616147995
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.7709911896247299,0.7099823720890753,0.7099823720890753,95,95,0,,0.007749525020667935,0.0038747625103339677,0.08423445214768122,0.9147642651319364,0.01721628949387299,0.3652173913043478,2.0,0.4456532620318219,0.06439838279038668,7.437552069813082,0.005308745231843741,0.11621175109082937,0.02627135201450029,1.6049261493524014,58,51,0.22387400321706416,-0.24562204995838305,0.042151305824518204
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.7656623914387889,0.7110733182161753,0.7110733182161753,95,95,0,,0.014198250321838723,0.007099125160919362,0.09024784505487679,0.9072810921035779,0.01769316014188634,0.3838509316770186,2.0,0.3856432694310076,0.07506639324128628,8.449832989649556,0.006031286930513601,0.13202864046327428,0.015721949689875652,1.2561607528508076,57,55,0.2129628054681904,-0.28368089120541706,0.04547656327486038
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.7828713039893164,0.7070421126636633,0.7070421126636633,95,95,0,,0.008061406832643172,0.004030703416321586,0.08351366599646368,0.917545548675239,0.017225925298310553,0.36770186335403726,2.0,0.48027084330944014,0.06827493869059253,7.332180689816517,0.005233533682952546,0.11456532327838312,0.01389588591470306,1.482376434416782,54,41,0.19122684211455707,-0.2350079722671845,0.040028225630521774
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.7622587902091007,0.6856733356733358,0.6856733356733358,95,95,0,,0.005676958488107055,0.0028384792440535275,0.06443018588323936,0.9578905644334702,0.012986938770807374,0.5208333333333334,2.0,0.3855784154677987,0.07454749941825867,8.115371362218712,0.005792556289949116,0.12680267753466737,0.011799115540227237,1.8826334775952938,52,40,0.19375897152548724,-0.2548605485406705,0.04553181678056717
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.769450942432309,0.6952664399092969,0.6952664399092969,95,95,0,,0.0057613725744556,0.0028806862872278,0.06358088826883197,0.9526403317398394,0.013099910593210942,0.49702380952380953,2.0,0.4807242581559638,0.06350766122341156,8.616585304607309,0.006150310709926702,0.13463414538448915,0.011595389022222478,1.7105301877078876,46,35,0.1879584179723679,-0.2806713536085214,0.04288777336478233
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.7960209907414877,0.7271818745727664,0.7271818745727664,95,95,0,,0.005924400010306212,0.002962200005153106,0.06483599176672626,0.9541615127049103,0.013080025798597664,0.5029761904761905,2.0,0.3968944950052745,0.07019584532827139,8.95275191866478,0.006390258328811407,0.1398867487291372,0.016424535785168594,1.7480057138568426,58,42,0.21227901990290488,-0.28555324323037656,0.04414765536785126
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.26666666666666666,0.24761904761904763,0.24761904761904763,22,22,0,,0.02463216503125902,0.01231608251562951,0.10327029667231157,0.30564136756946747,0.048037281236401524,0.11515151515151516,2.25,4.114263560171981,0.12369802221655846,6.388378991636236,0.0045598708005968845,0.09981842174431615,0.014105421913980627,2.2880912106523668,29,45,0.1801138868813723,-0.2966886956110102,0.06582023203372955
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.33809523809523806,0.30776942355889725,0.30776942355889725,22,22,0,,0.051351964302771676,0.025675982151385838,0.10750254650179128,0.20803606329502194,0.049150211434952046,0.18333333333333332,3.0,2.3685466092234133,0.1268465518951416,8.123094146865846,0.005798068627313238,0.12692334604477884,0.022362544306116602,2.1943419310069356,18,52,0.20939128775328505,-0.36031520790344407,0.06911417096853256
