stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.8114285714285714,0.8006098605291772,0.8006098605291772,118,118,0,,0.006700809372616171,0.0033504046863080854,0.07967795698819045,0.9119708532141682,0.017721721596305612,0.5110294117647058,2.0,0.34512374017196407,0.07078981655649841,7.194795000587019,0.005135471092496088,0.11241867188417216,0.00883348886944022,1.4070525790677004,47,28,0.16992209548273854,-0.23010417439378847,0.037809137254953384
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.7461904761904762,0.7360020931449502,0.7360020931449502,118,118,0,,0.007259183539364401,0.0036295917696822005,0.08259342988364711,0.9023804950526323,0.0178206642893268,0.4950980392156863,2.0,0.3413266918521314,0.07116661872714758,7.1550087637689295,0.005107072636523147,0.1117970119338895,0.01141469802389659,1.519280461972644,50,40,0.19813114768852258,-0.23089460330778228,0.039094239473342896
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.7652380952380952,0.7478409803637767,0.7478409803637767,118,118,0,,0.007891286332050038,0.003945643166025019,0.08137304024874356,0.9131334645826219,0.01789886920006186,0.5110294117647058,2.0,0.36444886693662665,0.06543105840682983,6.940656769618154,0.004954073354474057,0.10844776202528365,0.01161158488077451,1.6577722427724721,47,35,0.1783478334653822,-0.22086394246379057,0.03991454094648361
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.7623809523809525,0.7509659558327648,0.7509659558327648,118,118,0,,0.006424092117085482,0.003212046058542741,0.07277507477300789,0.9557913779693616,0.016028087122988675,0.6457399103139013,2.0,0.4140370344454212,0.08399192243814468,7.665878233138942,0.005471718938714449,0.119779347392796,0.008781735529494291,1.407877276102632,43,26,0.1709728016192041,-0.2370671576919156,0.04446490854024887
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.761904761904762,0.7560347074860629,0.7560347074860629,118,118,0,,0.006512475177584778,0.003256237588792389,0.0727412948265958,0.9534205295730418,0.01614934299097156,0.6188340807174888,2.0,0.3405074729852532,0.08157766982913017,8.106365847044136,0.005786128370481182,0.1266619663600646,0.009125876365613132,1.707112869382457,43,29,0.1781778095222188,-0.25284681377441154,0.03958621248602867
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.7585714285714286,0.7431429598552545,0.7431429598552545,118,118,0,,0.007399104631006745,0.0036995523155033726,0.07582197984294671,0.9533082532296968,0.016163535817824072,0.6121076233183856,2.0,0.377578078891176,0.08189424779266119,7.595412909604589,0.005421422490795566,0.1186783267125717,0.01260516398140351,1.6695516188803121,50,37,0.18493769752168265,-0.23734858399855846,0.0434456467628479
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.7944160997732427,0.7590813113369503,0.7590813113369503,103,103,0,,0.005674209795641252,0.002837104897820626,0.0774052693702706,0.9250716687662446,0.013618032786538642,0.5265700483091788,2.0,0.3145036338702797,0.0691770309349522,7.55370252093731,0.0053916506216540394,0.1180266018896455,0.01869399538777845,1.3779506150126777,59,52,0.21443550399825195,-0.2539443167927104,0.039799243211746216
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.7966836734693877,0.75313729962477,0.75313729962477,103,103,0,,0.004850439117332943,0.0024252195586664713,0.0773286068034229,0.9261169703665908,0.013489588005861081,0.5281803542673108,2.0,0.3038774067248188,0.06812023930251598,7.467349330437231,0.005330013797599737,0.11667733328808173,0.019216833248221064,1.7701811710934399,61,49,0.21506304036581056,-0.24103562829372782,0.03781793266534805
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.7887471655328798,0.7564134849342035,0.7564134849342035,103,103,0,,0.004835643674460632,0.002417821837230316,0.076638486534067,0.9271443088440142,0.01346127333974162,0.5475040257648953,2.0,0.28538905987427216,0.06556694954633713,7.450034625059964,0.005317654978629524,0.1164067910165619,0.018597540475091292,1.5585617632383943,60,51,0.22196682411786858,-0.23910969493282525,0.041017960757017136
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.7222789115646259,0.7035915284554123,0.7035915284554123,103,103,0,,0.00622529285950586,0.00311264642975293,0.06846170721752683,0.9657099784617307,0.01145229755064383,0.6709677419354839,2.0,0.3307421153976057,0.07634633127599955,8.395193654744586,0.005992286691466515,0.13117490085538414,0.024171213694791818,1.8144573139747662,61,52,0.21591499892101462,-0.255824484667981,0.04359335079789162
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,2718,0.747278911564626,0.7276960396561726,0.7276960396561726,103,103,0,,0.004784438824199137,0.0023922194120995686,0.06587043362411002,0.9682209376660645,0.011360146970133697,0.7193548387096774,2.0,0.2694889728324662,0.07773401215672493,8.553153744842986,0.006105034792892924,0.13364302726317168,0.012161301577952944,1.8423367757557325,52,38,0.1983804410412236,-0.26866221620568104,0.0425943061709404
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,3141,0.695124716553288,0.6744212000369636,0.6744212000369636,103,103,0,,0.004304375981346563,0.0021521879906732815,0.06463091898684051,0.9704653395992914,0.011362239268702801,0.6967741935483871,2.0,0.30819598473943377,0.07804612070322037,8.841842806443317,0.006311094080259327,0.13815379385067683,0.0124131181928981,1.6165734076167335,54,37,0.19688961308354663,-0.27602108049608237,0.041897356510162354
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,0.4166666666666667,0.3034188034188034,0.3034188034188034,15,15,0,,0.02618372999583036,0.01309186499791518,0.11531683347706827,0.3079411863257883,0.04740494075854683,,2.0,3.5954141197568155,0.1295192539691925,5.598089236719873,0.003995781039771501,0.087470144323748,0.009480098761212731,1.43186957949631,21,31,0.16389251006524622,-0.26414261210106815,0.06326562166213989
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,0.5416666666666666,0.4509379509379509,0.4509379509379509,15,15,0,,0.021726732128847386,0.010863366064423693,0.11592568792867274,0.3048333663952791,0.047372954163783496,,2.0,3.429850525787756,0.1342368870973587,5.74086399962442,0.0040976902210024405,0.08970099999413156,0.01084960644347439,1.596744606301978,31,34,0.16282787307403243,-0.2726984673478,0.05736339092254639
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,0.5,0.4166666666666667,0.4166666666666667,15,15,0,,0.021951302724580613,0.010975651362290307,0.11536652469506078,0.32399634564040214,0.04743662801120358,,2.5,3.579198665567216,0.13917089253664017,5.928161958801,0.004231378985582441,0.0926275306062656,0.011773771028127721,1.402938237360267,24,38,0.1856574380765172,-0.27967045230182824,0.062412943691015244
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,clean,cyclical_4,1729,0.5,0.4166666666666667,0.4166666666666667,15,15,0,,0.030431708722811424,0.015215854361405712,0.1417552674781734,0.37441570023050175,0.04897073959769633,,2.0,3.3498359196257104,0.13542170822620392,5.727145554758641,0.004087898326023298,0.08948664929310376,0.014402897624557487,1.2443268194461874,42,41,0.1677680156655697,-0.25928227087115374,0.06029442697763443
