stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,true_label,predicted_label,prediction_confidence,test_class_supported,correct,instrument,sensor_family,substrate_family,source_substrate,target_analyte,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,localized_case
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0150,4np,benzenethiol,0.9367020790186708,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0151,4np,4np,0.6047723028275374,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0152,4np,benzenethiol,0.920708889971298,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0153,4np,4np,0.5511822482753341,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0154,4np,benzenethiol,0.8447272269814464,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0155,4np,benzenethiol,0.8692380158817895,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0156,4np,4np,0.5462240255454772,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0157,4np,benzenethiol,0.8327237319396505,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0158,4np,pyridine,0.3744103563622042,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0159,4np,4np,0.6683169641932721,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0160,4np,benzenethiol,0.7355959958100645,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0161,4np,4np,0.5246569142879877,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0162,4np,benzenethiol,0.8187918444592002,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0163,4np,benzenethiol,0.7186238720533402,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0164,4np,benzenethiol,0.870852820829382,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0165,4np,4np,0.7362236239459737,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0166,4np,4np,0.7394644960911416,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0167,4np,benzenethiol,0.8716653852839185,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0168,4np,4np,0.4464844948472961,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0169,4np,4np,0.7065249262149291,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0170,4np,benzenethiol,0.5652853563300482,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0171,4np,4np,0.8033053208288233,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0172,4np,4np,0.6787474052118226,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0173,4np,benzenethiol,0.8357191909835274,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,poster_row_0174,4np,4np,0.5393927967839401,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0150,4np,benzenethiol,0.9504949975810412,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0151,4np,4np,0.4426840985505391,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0152,4np,benzenethiol,0.944942730386018,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0153,4np,benzenethiol,0.5284315660228743,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0154,4np,benzenethiol,0.953235382134828,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0155,4np,benzenethiol,0.9135226609511756,True,False,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
poster,poster_holdout_Ag,,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,2718,poster_row_0156,4np,4np,0.4821132872823341,True,True,,,Ag,AgNP,4np,Ag,400-1800_common,,,,,,,heldout_Ag__all_4np
