epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,fixed_epoch_count
1,0.0,0.07574346462885538,0.07574346462885538,140.1409404993057,0.1000292223406893,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
2,0.08,0.06712951958179474,0.047912833839654924,336.53221791585287,0.24020857809839605,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
3,0.16,0.04642782186468442,0.04203668211897214,38.449921162923175,0.02744462609773246,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
4,0.24,0.04079949284593264,0.034624533851941426,36.04632670084636,0.0257289983589196,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
5,0.32,0.038641819606224696,0.034306265662113825,18.981597900390625,0.01354860663839445,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
6,0.4,0.03698719590902329,0.03472272157669067,7.931322606404622,0.005661186728340202,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
7,0.48,0.0366883747279644,0.034492727865775424,6.40854450861613,0.004574264460111442,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
8,0.56,0.03624669661124547,0.0337584525346756,6.22505407333374,0.004443293414228223,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
9,0.64,0.0357195645570755,0.03331673095623652,5.25995241800944,0.00375442713633793,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
10,0.72,0.034963205456733704,0.032405013839403786,4.977815183003743,0.003553044384727868,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
11,0.8,0.03438082585732142,0.03147941554586093,5.081094614664713,0.003626762751366676,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
12,0.88,0.03300035869081815,0.029017794256409008,6.340423742930095,0.004525641501020767,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
13,0.96,0.03212651511033376,0.027861491218209265,6.224268023173014,0.0044427323505874475,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
14,1.0,0.031260593235492705,0.026723768437902133,6.356091562906901,0.004536824812924269,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
15,1.0,0.031026465445756914,0.026798881590366364,5.922845300038656,0.004227584082825593,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
16,1.0,0.03031430977086226,0.02609999440610409,5.904255549112956,0.00421431516710418,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
17,1.0,0.029855881134668985,0.025270912051200866,6.423541641235351,0.004584969051559851,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
18,1.0,0.0296468752125899,0.0250178474932909,6.485267384847005,0.004629027398177734,outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,99
