stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,corruption,severity,balanced_accuracy_supported,macro_f1_supported,prediction_agreement,latent_cosine_drift,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,corrupted_vae_kl_unnormalized_per_observation,corrupted_vae_kl_normalized,corrupted_vae_mean_kl_per_latent_dimension,corrupted_vae_median_kl_per_latent_dimension,corrupted_vae_max_kl_per_latent_dimension,corrupted_vae_active_units_var_mu_gt_0_01,corrupted_vae_dimensions_mean_kl_gt_0_01,corrupted_vae_posterior_mean_absolute_mu,corrupted_vae_posterior_mean_log_variance,corrupted_vae_posterior_sample_reconstruction_variability,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,scale_offset,0.5,0.79,0.7778629471526309,0.9745762711864406,0.0150150805711746,0.0077034521384426,0.0038517260692213,0.0851378489635883,0.9136157970067352,0.017742304398006,0.5061274509803921,2.0,0.3568656577732841,0.0752878873609006,7.105103102802993,0.0050714511797309,0.1110172359812968,0.0086437608020431,1.401554445479254,46,28,0.1683638087122829,-0.2291542709096143,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,scale_offset,1.0,0.8042857142857143,0.7955275551516153,0.923728813559322,0.0523070655763149,0.0106875127208779,0.0053437563604389,0.0949077239697181,0.9087182541046032,0.0177884552683942,0.5012254901960784,2.0,0.3377466029490553,0.0734121301211416,7.325133343567942,0.0052285034572219,0.114455208493249,0.0082281433001808,1.5054546725738958,44,28,0.1696322515321167,-0.2287277857772636,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,scale_offset,1.5,0.7890476190476189,0.7727982881923768,0.8898305084745762,0.1159225776791572,0.0138073299085836,0.0069036649542918,0.1091261041824441,0.8902645347470257,0.0178301213180063,0.4950980392156863,2.0,0.3680229453295428,0.092609544750303,7.60371840233718,0.0054273507511328,0.1188081000365184,0.0083642870974823,1.6759460892089526,45,29,0.1734162907063406,-0.2255365808203339,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,smooth_baseline,0.5,0.7995238095238095,0.800010090160466,0.9067796610169492,0.0384412072598934,0.0092802808157725,0.0046401404078862,0.0925082674800788,0.9077608511286503,0.0178033851368053,0.4938725490196078,2.0,0.3698258795342238,0.072969663888216,6.962311263888864,0.0049695298100562,0.1087861134982635,0.0087931989587193,1.3432388334001404,45,28,0.1711222649004006,-0.2244739067659022,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,smooth_baseline,1.0,0.706190476190476,0.6795950013412609,0.7966101694915254,0.1085316091775894,0.0127598265159574,0.0063799132579787,0.1057122611675802,0.8768008899699518,0.0179054830068511,0.4987745098039216,2.0,0.3758791191257974,0.0744179552420973,7.163169026053819,0.0051128972348706,0.1119245160320909,0.0096820003681087,1.3894222128580744,46,32,0.1807733740906393,-0.219058301806424,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,smooth_baseline,1.5,0.6409523809523809,0.6362152382371677,0.7288135593220338,0.1887965500354766,0.0179932195308862,0.0089966097654431,0.1203903871403309,0.818332819025818,0.0180652985348589,0.4926470588235294,2.0,0.437070622199235,0.0787827149033546,7.538702071102829,0.0053809436624574,0.1177922198609817,0.0110871796986097,1.6119334225551682,49,36,0.1908670266185732,-0.217690092777167,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,gaussian_noise,0.5,0.8042857142857143,0.7869378920399328,0.9830508474576272,0.0001474386517656,0.0067381623970177,0.0033690811985088,0.0798534441020339,0.9117070456102916,0.0177234731618495,0.5134803921568627,2.0,0.3588604328662179,0.0711726164445281,7.160272573866087,0.0051108298171777,0.1118792589666576,0.0087873868957772,1.3984751717256607,47,28,0.1697500573019989,-0.2292389755936373,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,gaussian_noise,1.0,0.7985714285714286,0.7802566481137909,0.9745762711864406,0.0006290770252235,0.00683597820713,0.003417989103565,0.0803732324954929,0.9130101896583996,0.0177265736013742,0.5110294117647058,2.0,0.3438237025052827,0.0712173532374436,7.0989174709282405,0.0050670360249309,0.1109205854832537,0.0087718087428687,1.3815312183925423,47,28,0.1693852678560092,-0.2284686188025748,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,gaussian_noise,1.5,0.8023809523809524,0.7798532814935708,0.9491525423728814,0.0015588452806696,0.0069823952156302,0.0034911976078151,0.0810812295723568,0.911936087412428,0.0177310525512959,0.508578431372549,2.0,0.3546366778878472,0.0723856093100039,7.026944723692554,0.0050156636143415,0.1097960113076962,0.0086748029347986,1.361620185023129,47,28,0.1685441649271343,-0.2281828987897266,,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,1729,isolated_spikes,0.5,0.8114285714285714,0.8006098605291772,1.0,4.611126496456564e-05,0.0067246291078121,0.003362314553906,0.0797628354961783,0.9122312157870284,0.0177228946006053,0.5110294117647058,2.0,0.3441544773548393,0.0703101158142089,7.191689705744386,0.0051332546079545,0.112370151652256,0.0088305857931083,1.4061967089394154,47,28,0.169870086545063,-0.2301905392512947,,,,,,,,,
