epoch,train_loss
1,0.0913094235605849
2,0.0561931992344784
3,0.04893614201522096
4,0.042074397319194046
5,0.03857622345983287
6,0.03320704666259405
7,0.030930516954797965
8,0.02902619640987653
9,0.02607423829518276
10,0.023470361810394656
11,0.021465841824045546
12,0.01934117244639041
13,0.017452318125810377
14,0.01613647037018568
15,0.015402396793514142
16,0.014901939132587336
17,0.01451146024081743
18,0.013987301824948726
19,0.013246560807932507
20,0.012457896076090685
21,0.01175821628117617
22,0.011206977583884776
23,0.01079489940903334
24,0.01047343525835823
25,0.010189140868961534
26,0.009977851032620265
27,0.009789361190788952
28,0.009635636109711129
29,0.009459194966042653
30,0.00933999668303139
31,0.009206919368608292
32,0.009098091015118957
33,0.008957194976317577
34,0.008840072715529055
35,0.008710057303170503
36,0.008596174801007295
37,0.008507019922675647
38,0.008444474217653413
39,0.00836626009577082
40,0.008271381608481869
41,0.008222491039714334
42,0.008134579183946262
43,0.008100707222879071
44,0.008031034175662588
45,0.007940337109642152
46,0.007897511200592929
47,0.007854514149623317
48,0.007825829616220263
49,0.007774189349029448
50,0.007709165904801208
51,0.00767872265446714
52,0.007653998506270644
53,0.007594207112866265
54,0.007545847469606461
55,0.007512873769162488
56,0.007463884552927701
57,0.007414438800847197
58,0.007367799465603136
59,0.0073666300207793295
60,0.007387288079742507
61,0.0073371784021266
62,0.007303453011477327
63,0.007314573187546019
64,0.007227955323086057
65,0.007167116302501905
66,0.007138663762854738
67,0.007110440567361586
68,0.007083146793806886
69,0.007052320882782236
70,0.007017960446281033
71,0.007069960619715892
72,0.007061688589813548
73,0.0070864737244422755
74,0.007003230225112471
75,0.0069358205652876054
76,0.006878574301720985
77,0.006870937062588049
78,0.006858050764596962
79,0.0068570700081147795
80,0.006891791496017735
81,0.006868201332917928
82,0.006813395504637824
83,0.006788560215357717
84,0.006782246988032248
85,0.006861021635849854
86,0.007016234000002865
87,0.006890855686161624
88,0.006826663016404584
89,0.006793465957019504
90,0.006769096342052196
91,0.006747080469048107
92,0.006660924106402136
93,0.006647613213239085
94,0.006572098651410261
95,0.0065902884689209625
96,0.006543916531801571
97,0.006515778529529388
98,0.006483188491653313
