epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin
1,3.9567329579211297,1.7875828058161634,4.240236444676176,0.19612788139505588
2,3.9410664274337446,1.7728064288484289,4.241244681338046,0.19055065163906584
3,3.9461607933044434,1.779152233549889,4.24019193649292,0.1876507065397628
4,3.921521506410964,1.7621453518563128,4.234441351383291,0.16862225786168525
5,3.9130612890771093,1.7774069157052548,4.202282286704855,0.13805297682894038
6,3.715508988563051,1.7521215296806174,3.8983938694000244,0.05676200446930337
7,3.343737855870673,1.7215432588090287,3.2115486175455947,0.06568154066484025
8,3.244476637941726,1.7018761609462982,3.06402140475334,0.04235900875101698
9,3.137832245928176,1.6961940831326423,2.8660825871406717,0.034387527707409354
10,3.086863527906702,1.665175199508667,2.8271617585040154,0.03242986054813608
11,3.0291856857056314,1.6409392027144736,2.7573552030198116,0.03827550444514193
12,2.969186696600407,1.6295456353654252,2.6686988789984523,0.02116703561586427
13,2.9321369008815035,1.6109855200381988,2.635387309054111,0.013830602961651822
14,2.9030740920533527,1.5869741338364622,2.6251090638181,0.014181735786668797
15,2.897657161063336,1.582979344307108,2.622144191823107,0.01442275093769298
16,2.82866019390999,1.567738596429216,2.5189966597455613,0.005693044156787243
17,2.8279695003590684,1.5589104003094612,2.5336835587278324,0.008869454938363521
18,2.7859778607145267,1.5402865029395896,2.4904166028854693,0.0019324187664909566
19,2.7490220222067325,1.5248599635793807,2.4477694034576416,0.0011093382168799004
20,2.75078307314122,1.5086882190501436,2.4839544346992004,0.00047064207969827853
21,2.732552376199276,1.4889678955078125,2.485798785027037,0.0027402937412261963
22,2.683962974142521,1.47166304892682,2.4245998504314015,0.0
23,2.6979251719535666,1.4651892185211182,2.464450034689396,0.0020439371942205633
24,2.66078645625013,1.4411240638570582,2.4393249623318938,0.0
25,2.6601042138769273,1.4439091631706724,2.4323900456124163,0.0
26,2.6538438543360283,1.4222137851917998,2.4632600165428,0.0
27,2.637015251403159,1.4099425407166177,2.454145482245912,0.0
28,2.6260045335647906,1.4100875854492188,2.4318339013038797,0.0
29,2.6028513857658875,1.3875004382843668,2.4307018949630415,0.0
30,2.584328681864637,1.3657308664727719,2.437195686583823,0.0
31,2.604998618998426,1.3645208820383599,2.4809554688473967,0.0
32,2.5901528165695513,1.3663932592310803,2.444849232409863,0.00533984918543633
33,2.56019852516499,1.3503816102413422,2.419633829847295,0.0
34,2.5584321884398764,1.3339582707019562,2.448081097704299,0.0017336366321653762
35,2.5374895866881024,1.3271856206528685,2.4206078153975468,0.0
36,2.519945849763586,1.314133382858114,2.4116248729381153,0.0
37,2.505790264048475,1.299010751095224,2.413559152724895,0.0
38,2.5076424365348005,1.2972176911983084,2.4208495515458126,0.0
39,2.492348589795701,1.2798318178095716,2.424186554360897,0.0016941650116697271
40,2.47118445152932,1.2601607758948143,2.422047290396183,0.0
41,2.4611819145527294,1.254453844212471,2.4134562573534377,0.0
42,2.4535132367560206,1.2428566648605022,2.421313138718301,0.0
43,2.4464592223471784,1.2336860996611574,2.425522139731874,4.8138362236638016e-05
44,2.433728613752,1.224201187174371,2.419054974900915,0.0
45,2.4300194192439952,1.2248970929612504,2.4102447134383183,0.0
46,2.4074235165372806,1.2034604422589565,2.407926153629384,0.0
47,2.396974837526362,1.188289832561574,2.4173701266024974,0.0
48,2.406630237051781,1.1847777696366006,2.4437048739575324,0.0
49,2.384761997993956,1.1669119748663395,2.435176966038156,0.001046370397856895
50,2.3847650061262415,1.1656599349163947,2.4382102641653507,0.0
51,2.3611233488042305,1.1595536926959424,2.4031394288894976,0.0
52,2.3441564072953893,1.1369290859141248,2.4144545818897005,0.0
53,2.3408388026217195,1.1439305898991037,2.393816425445232,0.0
54,2.331197444428789,1.1317008099657424,2.398993213126,0.0
55,2.325168026254532,1.1218736653632306,2.4065886000369456,0.0
56,2.312080626792096,1.1039006836870884,2.4163599420101085,0.0
57,2.3100251694943044,1.0997074588816216,2.4206355429710227,0.0
58,2.2989781714500266,1.0873539244874995,2.421900414405985,0.0026961438793768272
59,2.2891629706037806,1.0823082441979266,2.413709391938879,0.0
60,2.2681571879285447,1.0560016327715935,2.4243111153866383,0.0
61,2.264741760619143,1.0644552428671654,2.4005730963767844,0.0
