epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin
1,4.070069780832605,1.9378002399130712,4.1812688217887395,0.16654071155228192
2,3.8373977081685124,1.8827044435694247,3.8559779245642165,0.10681716956292527
3,3.671597565276713,1.8264805501020407,3.6557336909861506,0.06900072069484976
4,3.5931378074839144,1.8002693562567988,3.553763293012788,0.06394743711888036
5,3.4213294379318815,1.7346453757225713,3.3496355889718745,0.04746508975572224
6,3.2871637193462515,1.6866694537899163,3.183700793906103,0.034575489314296576
7,3.183608227138278,1.6446286243728445,3.0646845932248272,0.026549265826050238
8,3.0882414051249056,1.605935132956203,2.9537453259093853,0.02173453156800964
9,2.976405083378659,1.5595009206216546,2.825141257877591,0.017334085759482806
10,2.910706426523909,1.5176042393793034,2.780873506884032,0.010661940809480751
11,2.8848086007033724,1.4875795524331588,2.788642666007899,0.01163076798732192
12,2.808968613419352,1.4501940781557108,2.7109067590930795,0.013284636437421359
13,2.7753523392013357,1.4197367173206956,2.7055923727494253,0.011277721086634865
14,2.720692088332357,1.3835907314397111,2.6662570645537556,0.01589135397697174
15,2.66742789594433,1.3495931670635561,2.626340431503103,0.01865816739965466
16,2.597847908358031,1.3085292562653748,2.575330818755717,0.006613081503848109
17,2.5761712502829637,1.2772425473490847,2.595357077031196,0.005000577172665279
18,2.5365249778650982,1.2506650640994688,2.570759752128698,0.0019202939930218685
19,2.456163140791881,1.205363834960551,2.4999118273771264,0.0033735631894367406
20,2.4373865610436547,1.1839936971664429,2.5055994172639484,0.0023725912419937647
21,2.3994217401818383,1.1501875919631765,2.4963653510129906,0.004205882472658082
22,2.3785122919686232,1.1247658322129068,2.506154902373688,0.0026759833474702473
23,2.318210221544097,1.0876393635061723,2.4604309148426298,0.001421611237375042
24,2.3304692702957346,1.0711730250829383,2.5165280903441998,0.004128717569799363
25,2.2771401344975337,1.040470142907734,2.4722288379186317,0.0022222068266872365
26,2.197631325902818,0.9965152831017217,2.401542271239848,0.0013795452681664802
27,2.1711943421182753,0.9654273390769958,2.410743915582005,0.0015802566916976548
28,2.134757138505767,0.9349658127072491,2.398347534710848,0.0024702500882028025
29,2.13200695303422,0.9135402644736857,2.4346495006657856,0.004567713252728498
30,2.106145644489723,0.8928263692916194,2.42563472518438,0.0020077099693538267
31,2.0624689542794528,0.8674401090114932,2.3890941354292856,0.0019271143393803246
32,2.0226343643816214,0.83451289240318,2.375034537496446,0.0024169392270755163
33,2.0407990443555613,0.8284087882766241,2.424109896527061,0.0013412577335876
34,1.996340304990358,0.7998139933694767,2.3930318536637705,4.156229463464851e-05
35,1.9487667838229408,0.7677952654754059,2.3612194483793236,0.0014471332955209514
36,1.9391228081304817,0.7532861527008347,2.3709307667575303,0.0014850214076570318
37,1.9053262230716175,0.7238453852979443,2.3625716891469835,0.0007800229786765538
38,1.891677123081835,0.7112252282190926,2.360351915600934,0.0011037354522585115
39,1.8986059216004383,0.6979557517208631,2.4004104409036757,0.0017797777877201007
40,1.8527362331559387,0.6728153213669982,2.3591172544262076,0.0014491565761309635
41,1.8240223323242575,0.6472077618671369,2.353238483018513,0.0007813364455971537
42,1.8010776571080656,0.6298252857184108,2.3423482677604577,0.0003129445190270302
43,1.7892959434774858,0.6117720483224603,2.353838579564155,0.0024184160217454163
44,1.7969467126870458,0.6057200424278839,2.3822513682932795,0.00040397151738782473
45,1.7577167915392526,0.5811477303504944,2.3530789689172673,0.00011824832969828497
46,1.7221210063258303,0.5595320900784263,2.3249066630496253,0.0005422816906548753
47,1.7174167723595342,0.5451287340514267,2.34457607208928,0.0
48,1.7310601880278769,0.5406281442581853,2.3805124940751474,0.0007031899700059166
49,1.6969106559511982,0.525618868538096,2.342500319963769,0.00016643906224377548
50,1.6925517878954923,0.512965782533718,2.3584105500692054,0.0015229353138917609
51,1.6868060570728929,0.5053990981246852,2.3620893411998507,0.0014491470433370787
52,1.6527586451059655,0.48463570015339913,2.3362458929230896,0.0
53,1.6455186620543274,0.4701691416999962,2.3502997024149836,0.0007987300303491654
54,1.644744513910028,0.46288491200797166,2.3631580268280414,0.0011223293369329427
55,1.6160469628587555,0.4462212573123884,2.3390799594830862,0.0011428969476041915
56,1.5993344044383568,0.4310989368565475,2.3364587463910067,2.4371384053573578e-05
57,1.569603074955035,0.4152273516866225,2.308751472943946,0.0
58,1.5714026629170286,0.40900129758858983,2.324685772763023,0.00023388662198676338
59,1.5664757324170462,0.39885225250751155,2.334450570842888,0.0015927939852581749
60,1.546993985960755,0.3907970574837697,2.3122769367845755,0.00023374880982350699
61,1.5348871629449385,0.3752300452582444,2.3191763328600534,0.0002758376111712637
62,1.5180306736427018,0.3616836636881285,2.3125447864773907,0.0002985067335487921
63,1.508120159559612,0.3509559435180471,2.31381799903097,0.0010209075187014628
64,1.5208464951454839,0.3568566222734089,2.327979733672323,0.0
65,1.542510319359695,0.36004059412811373,2.3641654660430134,0.0015479096600526496
66,1.4879034531267383,0.3305944347683388,2.3145690477347074,9.798475458652158e-05
67,1.4780490187150013,0.3214584404154669,2.3131177832808674,0.00012675795374037345
68,1.471698198137404,0.31693619527394257,2.3095185786862915,1.0879482643655206e-05
69,1.4816720289520071,0.31228485326223737,2.3384868404533288,0.00057501810355277
70,1.4710187730909903,0.30837230290038675,2.3246660413621347,0.0012537936998319023
71,1.4577276193642918,0.29507614464699466,2.3253029449076594,0.0
72,1.4349502928649323,0.282954821858225,2.303521501867077,0.0009388907612124576
