epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin
1,4.107485318705983,1.9433948723939214,4.229608391323229,0.19714511887435496
2,4.066138422402152,1.9344415873506644,4.1845226653300935,0.15774174067225769
3,3.868414774428319,1.9143312290637162,3.8443368890859784,0.12766036168284658
4,3.6436446078502347,1.891866315020262,3.4537573904886734,0.09959863055578984
5,3.4616506848022017,1.8578646183013916,3.1740033191485995,0.06713789154904602
6,3.312759383751528,1.8284825147503483,2.9406034667996597,0.05590062740727933
7,3.1834541794157376,1.7936045148946944,2.7579420369907015,0.04351445407110409
8,3.107911976584553,1.7690836295594263,2.66172938799336,0.03185459917044117
9,3.11829095339253,1.7517811529827814,2.7126923373145777,0.04065445201457852
10,3.0377501118792236,1.7234991867176808,2.618245578160251,0.020512437930561764
11,2.9756659765313143,1.7004492326374472,2.535496120035213,0.029874704458689602
12,2.949694064411804,1.6801412270887055,2.5301618480334316,0.017887521715304496
13,2.8643191330624322,1.651589526747265,2.420826965874999,0.009264687077060723
14,2.919691258103308,1.6420234859424785,2.545124966732777,0.02042137105425779
15,2.8609546901535814,1.6160510552190517,2.4832140485735703,0.013186675462409527
16,2.8322987138789935,1.5953133941566857,2.4670388776890553,0.013863459368827788
17,2.8665662177287747,1.5850022630969973,2.5562048724097926,0.013845851733247294
18,2.8138377022569196,1.5629540359886893,2.498250500129087,0.007033661300194089
19,2.8286741684823142,1.5501537410012127,2.5521461920146526,0.009789374303480569
20,2.7336183481842933,1.5256653432428402,2.411087172744918,0.009637479593018817
21,2.7701196809754753,1.5146161378735172,2.504307133437943,0.01340011582071689
22,2.6524719530648557,1.4857197556182415,2.329909993784271,0.007188938095839354
23,2.6758963783292007,1.4699330599638667,2.4030249875827425,0.0178035017320492
24,2.6374667091091184,1.4499880310392728,2.371290886489144,0.007333155265961685
25,2.626749160516001,1.4376308404616196,2.3749605913231844,0.00655203900660259
26,2.6191250094532097,1.41506028175354,2.4056331189009397,0.004992723471763796
27,2.594324990780684,1.396984424904315,2.390205953243005,0.008950420570335467
28,2.5454544951445865,1.379384055624913,2.3290293094885612,0.006223032699666754
29,2.5144539436284643,1.3526737455033908,2.318175683926492,0.010769499261883924
30,2.5208741731017175,1.3421386985013084,2.356662161158819,0.0016174643541801803
31,2.4923911581944376,1.3262104570430562,2.32936541007383,0.005991982010594249
32,2.4680442026931875,1.3133477137906708,2.3078944448136935,0.002997102637360566
33,2.45514562356211,1.2852506741990137,2.33604334566715,0.0074930574445828905
34,2.458686503180622,1.2759026393403101,2.3622243822056013,0.006686585421680751
35,2.433415799245347,1.2658417442419234,2.334042500405416,0.0022112096895219036
36,2.4062685113753717,1.2401117173424603,2.329994319999305,0.004638525161953357
37,2.434859245362943,1.2334314201870105,2.3980069682545904,0.009697366193154432
38,2.414679643881582,1.2201628824220085,2.385790601263951,0.006485948570235802
39,2.377325528729571,1.201956949964927,2.3483498531536466,0.004774739302993909
40,2.3959581042728284,1.1903308151412184,2.408295633148973,0.005917943742153419
41,2.5088563278643754,1.1927233708165859,2.6269137633107875,0.010704238701910868
42,2.3581241464962925,1.1594786713593197,2.394610781739228,0.00536063144894412
43,2.349783860853989,1.1399848939728563,2.418339560501767,0.0025169745250774997
44,2.403832415594672,1.1444510517329196,2.5128968005632832,0.01173175204150977
45,2.28711168174326,1.1150097942700352,2.3411734922088847,0.006060573408366555
46,2.2907896276808133,1.1098765178318442,2.35931668490389,0.005019204677456487
47,2.2780533994201324,1.092590834972632,2.365981015845807,0.00988810086949137
48,2.2724365509339495,1.0809866555415801,2.3789041947274314,0.007991181448591452
49,2.2033963246937214,1.056085501274053,2.2930117819431053,0.0032197166315830537
50,2.2257134348806673,1.0479798395268238,2.3541590558351393,0.0026162785960592494
51,2.168871495845544,1.0235904246351144,2.287738866179529,0.005646412641517002
52,2.146307879120764,1.0032469377900561,2.2848504546785007,0.0025426487363602993
53,2.22136261776416,1.0135320873156082,2.412639091484738,0.006043998239031673
54,2.182835518008601,1.0010781192431484,2.359322047581638,0.008385561474592147
55,2.131615613498827,0.9769643653918357,2.307882843226412,0.00283932186880686
56,2.1251592740525296,0.9597818525168147,2.3257480485595927,0.010013727484828365
57,2.1166796327507407,0.9621031471412548,2.3067208824366547,0.0048642143552755784
58,2.164910307765877,0.94898229184812,2.429045692847593,0.005620890235813865
59,2.080293892943946,0.9255841831221198,2.3089153784034897,0.0010080836223859857
60,2.074206337441493,0.9182603441885788,2.3100121578160864,0.0037595946477712505
61,2.12504722602176,0.9230689036585119,2.399747772808493,0.008417745882196582
