configuration,representation,kl_schedule,run_seed,epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,validation_loss,validation_reconstruction_loss,validation_kl_unnormalized,validation_kl_normalized
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1373027840,1,0.0,0.07758969020146828,0.07758969020146828,45.2480880811617,0.03229699363394839,0.2558125770583595,0.0652543472260544,266.972073899102,0.19055822548115772
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1373027840,2,0.08,0.07067237687962395,0.058470760266502185,213.68079861727628,0.15252019887029,0.126606509857571,0.05120882438015692,105.63215298996758,0.075397682362575
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1373027840,3,0.16,0.056627578210908094,0.049356855887484244,63.6642545724844,0.04544200897393605,0.06714007204648145,0.04529910899468304,30.599189404359798,0.021840963172276802
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1373027840,4,0.24,0.04720082985503333,0.04207926717671481,29.897124922120724,0.02133984648259866,0.05392594620124581,0.03793320881644475,22.405824700581658,0.01599273711676064
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1373027840,5,0.32,0.041718034291422214,0.037143326231411526,20.028644512226055,0.014295963249269133,0.04758615169635753,0.03469618467479637,18.05884203959986,0.012889965767023455
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1373027840,6,0.4,0.039546923687705744,0.035734786035178545,13.352010293440385,0.009530342821870368,0.042638523292910194,0.034673442430410185,11.159081114936122,0.007965082880040058
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1373027840,7,0.48,0.0385899076407606,0.03583645689990613,8.03663274220058,0.005736354562598558,0.03990591294372205,0.034680205253288916,7.321216514430096,0.005225707719079297
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1373027840,8,0.56,0.037744217346627994,0.0353798507289453,5.9151394707815985,0.004222083847809849,0.03845401089062396,0.03393940508519251,6.32496468553838,0.004514607198813976
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1373027840,9,0.64,0.03742529340572171,0.03485234720366342,5.632340096808099,0.004020228477379086,0.0379553784414665,0.03347456543562338,6.2776185065200645,0.004480812638486841
c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,cyclical_4,1373027840,10,0.72,0.03691486670792877,0.034299982687482584,5.088128987844888,0.0036317837172340386,0.03692851906891951,0.03318819129052236,5.240198641708217,0.0037403273673863075
