true_labels,predicted_labels,samples
6-mercapto-1-hexanol + pyridine,benzenethiol + pyridine,36
1-dodecanethiol + meoh,1-dodecanethiol + diethylamine,9
1-dodecanethiol + meoh,1-undecanethiol + meoh,8
1-dodecanethiol + meoh,1-dodecanethiol + tris(2-ethylhexyl) phosphate,1
