true_labels,samples,anchor_exact_rate,reject_rate,accepted_exact_rate,accepted_error_rate,mean_residual_rel,mean_minor_share,mean_gap_ratio
6-mercapto-1-hexanol + pyridine,36,0.0,0.0,0.0,1.0,0.2292100366772891,0.2855868945655732,0.15833091607063265
1-dodecanethiol + meoh,158,0.8860759493670886,0.11392405063291139,0.8928571428571429,0.10714285714285714,0.10598048384871324,0.19776304206496398,0.07893148963017918
1-dodecanethiol + benzene,49,1.0,0.0,1.0,0.0,0.1454476167466992,0.4884167080827487,0.0024149861597044754
benzene + benzenethiol,36,1.0,0.0,1.0,0.0,0.1250779224695954,0.15449106224332937,2.0089806736872586
benzenethiol + pyridine,36,1.0,0.0,1.0,0.0,0.10481172590412632,0.4157821948502988,2.9476075863391378
"6-mercapto-1-hexanol + n,n-dimethylformamide",36,1.0,0.0,1.0,0.0,0.09887167689881564,0.44100291342792475,0.44230051853662194
6-mercapto-1-hexanol + benzene,36,1.0,0.0,1.0,0.0,0.0976394313253041,0.29898203791394157,0.06794340734934635
benzene + etoh,36,1.0,0.0,1.0,0.0,0.09630474840336449,0.47730360922633747,0.3263699499211045
etoh + meoh,49,1.0,0.0,1.0,0.0,0.09201316676282008,0.4196370102904728,4.160210857785918
"n,n-dimethylformamide + pyridine",36,1.0,0.0,1.0,0.0,0.08302581850962087,0.3552497567413339,2.5337451846566355
1-dodecanethiol + etoh,36,1.0,0.0,1.0,0.0,0.06523625449238775,0.41439716562612355,0.0589709790884257
benzene + meoh,36,1.0,0.0,1.0,0.0,0.061576803195842765,0.4266694601377176,0.42146422539630013
