held_out_substrate,prototype_mode,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1,final_loss
Ag,substrate_balanced,200,75,"4np,benzenethiol,pyridine",0.68,0.68,0.6011385535195058,2.695319490157999e-05
Au,substrate_balanced,225,50,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.0008031058627077274
PICO,substrate_balanced,200,75,"4np,benzenethiol,pyridine",1.0,1.0,1.0,0.00018710528849624097
pSERS,substrate_balanced,200,75,"4np,benzenethiol,pyridine",1.0,1.0,1.0,0.0002869114559143782
