held_out_substrate,prototype_mode,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1,final_loss
Ag,substrate_balanced,200,75,"4np,benzenethiol,pyridine",0.7333333333333333,0.7333333333333334,0.6705516705516706,0.0
Au,substrate_balanced,225,50,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.0
PICO,substrate_balanced,200,75,"4np,benzenethiol,pyridine",0.9733333333333334,0.9733333333333333,0.9732905982905984,0.0
pSERS,substrate_balanced,200,75,"4np,benzenethiol,pyridine",1.0,1.0,1.0,0.0
