feature,loss,prototype_mode,seed,accuracy,balanced_accuracy,macro_f1,min_fold_accuracy,worst_fold,result_path
derivative_1,triplet,row_mean,42,0.975,0.975,0.89467377860235,0.92,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_1__triplet__row_mean__seed42.csv
peak_emphasis,triplet,row_mean,42,0.96,0.9600000000000001,0.8825633701756564,0.8933333333333333,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/peak_emphasis__triplet__row_mean__seed42.csv
derivative_1,triplet,substrate_balanced,42,0.9483333333333333,0.9483333333333334,0.8665080240215011,0.8933333333333333,PICO,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_1__triplet__substrate_balanced__seed42.csv
peak_emphasis,triplet,substrate_balanced,42,0.94,0.9400000000000001,0.8620982277743466,0.8933333333333333,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/peak_emphasis__triplet__substrate_balanced__seed42.csv
peak_emphasis,batch_hard_triplet,substrate_balanced,42,0.935,0.935,0.8526345808843896,0.8533333333333334,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/peak_emphasis__batch_hard_triplet__substrate_balanced__seed42.csv
derivative_1,batch_hard_triplet,row_mean,42,0.9283333333333333,0.9283333333333333,0.8326039040324755,0.7333333333333333,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_1__batch_hard_triplet__row_mean__seed42.csv
peak_emphasis,batch_hard_triplet,row_mean,42,0.925,0.9249999999999999,0.8390963392932931,0.8,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/peak_emphasis__batch_hard_triplet__row_mean__seed42.csv
derivative_1,batch_hard_triplet,substrate_balanced,42,0.9216666666666666,0.9216666666666666,0.825926553605125,0.7333333333333333,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_1__batch_hard_triplet__substrate_balanced__seed42.csv
derivative_1,contrastive,row_mean,42,0.9183333333333333,0.9183333333333333,0.8215334078837014,0.6933333333333334,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_1__contrastive__row_mean__seed42.csv
derivative_1,contrastive,substrate_balanced,42,0.915,0.915,0.8152506247744342,0.68,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_1__contrastive__substrate_balanced__seed42.csv
derivative_2,batch_hard_triplet,row_mean,42,0.9133333333333333,0.9133333333333333,0.8849585302628715,0.68,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_2__batch_hard_triplet__row_mean__seed42.csv
derivative_2,contrastive,row_mean,42,0.91,0.91,0.8869291306266095,0.6666666666666666,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_2__contrastive__row_mean__seed42.csv
derivative_2,contrastive,substrate_balanced,42,0.9066666666666666,0.9066666666666666,0.8835864473994726,0.6666666666666666,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_2__contrastive__substrate_balanced__seed42.csv
derivative_2,batch_hard_triplet,substrate_balanced,42,0.8966666666666667,0.8966666666666667,0.867351949087549,0.68,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_2__batch_hard_triplet__substrate_balanced__seed42.csv
derivative_2,triplet,substrate_balanced,42,0.8966666666666666,0.8966666666666666,0.873025084159538,0.6666666666666666,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_2__triplet__substrate_balanced__seed42.csv
derivative_2,triplet,row_mean,42,0.8966666666666666,0.8966666666666666,0.873025084159538,0.6666666666666666,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/derivative_2__triplet__row_mean__seed42.csv
peak_emphasis,contrastive,row_mean,42,0.88,0.88,0.7884703263292405,0.6933333333333334,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/peak_emphasis__contrastive__row_mean__seed42.csv
peak_emphasis,contrastive,substrate_balanced,42,0.8733333333333334,0.8733333333333334,0.7754930550798897,0.68,Ag,Workspace/substrate_agnostic/grouped_metal_substrates/sweeps/siamese_feature_loss_sweep/peak_emphasis__contrastive__substrate_balanced__seed42.csv
