reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_matched_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,observation_uid,candidate,family_base,row_correlation_to_unsmoothed_family,high_frequency_noise_score,high_frequency_noise_score_reference,relative_high_frequency_noise_reduction
124.0,124.0,5.0,5.0,0.0,0.0,0.0,session1_row213,minimal_minmax,minimal_minmax,1.0,0.07002083633264874,0.07002083633264874,0.0
9.0,9.0,6.0,6.0,0.0,0.0,0.0,session1_row214,minimal_minmax,minimal_minmax,1.0,0.002961094494445065,0.002961094494445065,0.0
11.0,11.0,8.0,8.0,0.0,0.0,0.0,session1_row215,minimal_minmax,minimal_minmax,1.0,0.007215773173794969,0.007215773173794969,0.0
10.0,10.0,6.0,6.0,0.0,0.0,0.0,session1_row218,minimal_minmax,minimal_minmax,1.0,0.0057173321891962866,0.0057173321891962866,0.0
9.0,9.0,4.0,4.0,0.0,0.0,0.0,session1_row222,minimal_minmax,minimal_minmax,0.9999999999999998,0.0013616375562979129,0.0013616375562979129,0.0
9.0,9.0,4.0,4.0,0.0,0.0,0.0,session1_row223,minimal_minmax,minimal_minmax,0.9999999999999999,0.0005681232087121899,0.0005681232087121899,0.0
10.0,10.0,1.0,1.0,0.0,0.0,0.0,session1_row224,minimal_minmax,minimal_minmax,1.0,0.0017098380797512982,0.0017098380797512982,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,session1_row225,minimal_minmax,minimal_minmax,1.0,0.0007331699743920998,0.0007331699743920998,0.0
11.0,11.0,0.0,0.0,0.0,0.0,0.0,session1_row226,minimal_minmax,minimal_minmax,1.0,0.001344632465927265,0.001344632465927265,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,session1_row227,minimal_minmax,minimal_minmax,1.0,0.0006169542033563398,0.0006169542033563398,0.0
9.0,9.0,5.0,5.0,0.0,0.0,0.0,session1_row228,minimal_minmax,minimal_minmax,1.0,0.00045914982460429636,0.00045914982460429636,0.0
10.0,10.0,5.0,5.0,0.0,0.0,0.0,session1_row229,minimal_minmax,minimal_minmax,0.9999999999999999,0.0013242558402745798,0.0013242558402745798,0.0
9.0,9.0,5.0,5.0,0.0,0.0,0.0,session1_row230,minimal_minmax,minimal_minmax,0.9999999999999999,0.0010833736658277199,0.0010833736658277199,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,session1_row231,minimal_minmax,minimal_minmax,1.0,0.0005455450262274893,0.0005455450262274893,0.0
9.0,9.0,7.0,7.0,0.0,0.0,0.0,session1_row232,minimal_minmax,minimal_minmax,1.0,0.0007303578710165536,0.0007303578710165536,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,session1_row233,minimal_minmax,minimal_minmax,1.0,0.0007141551331035001,0.0007141551331035001,0.0
9.0,9.0,5.0,5.0,0.0,0.0,0.0,session1_row234,minimal_minmax,minimal_minmax,1.0,0.0005002565491848259,0.0005002565491848259,0.0
10.0,10.0,7.0,7.0,0.0,0.0,0.0,session1_row235,minimal_minmax,minimal_minmax,1.0,0.0005389028073159904,0.0005389028073159904,0.0
9.0,9.0,2.0,2.0,0.0,0.0,0.0,session1_row236,minimal_minmax,minimal_minmax,1.0,0.0010102614437429323,0.0010102614437429323,0.0
12.0,12.0,3.0,3.0,0.0,0.0,0.0,session1_row237,minimal_minmax,minimal_minmax,1.0,0.001269825015742191,0.001269825015742191,0.0
9.0,9.0,0.0,0.0,0.0,0.0,0.0,session1_row238,minimal_minmax,minimal_minmax,1.0,0.0011776030788764697,0.0011776030788764697,0.0
11.0,11.0,6.0,6.0,0.0,0.0,0.0,session1_row239,minimal_minmax,minimal_minmax,1.0,0.0013334737700575314,0.0013334737700575314,0.0
10.0,10.0,0.0,0.0,0.0,0.0,0.0,session1_row240,minimal_minmax,minimal_minmax,1.0,0.001986899267730012,0.001986899267730012,0.0
7.0,7.0,0.0,0.0,0.0,0.0,0.0,session1_row241,minimal_minmax,minimal_minmax,1.0,0.0011328569563717455,0.0011328569563717455,0.0
4.0,4.0,0.0,0.0,0.0,0.0,0.0,session1_row242,minimal_minmax,minimal_minmax,1.0,0.0005649245676418256,0.0005649245676418256,0.0
11.0,11.0,1.0,1.0,0.0,0.0,0.0,session1_row243,minimal_minmax,minimal_minmax,1.0,0.0035872777484995274,0.0035872777484995274,0.0
9.0,9.0,2.0,2.0,0.0,0.0,0.0,session1_row244,minimal_minmax,minimal_minmax,1.0,0.0006492604716516501,0.0006492604716516501,0.0
8.0,8.0,0.0,0.0,0.0,0.0,0.0,session1_row245,minimal_minmax,minimal_minmax,1.0,0.0014823279974908855,0.0014823279974908855,0.0
44.0,44.0,6.0,6.0,0.0,0.0,0.0,session1_row246,minimal_minmax,minimal_minmax,1.0,0.020792387356530495,0.020792387356530495,0.0
105.0,105.0,4.0,4.0,0.0,0.0,0.0,session1_row247,minimal_minmax,minimal_minmax,0.9999999999999999,0.05447301098562255,0.05447301098562255,0.0
141.0,141.0,4.0,4.0,0.0,0.0,0.0,session1_row248,minimal_minmax,minimal_minmax,1.0,0.08657293818714498,0.08657293818714498,0.0
152.0,152.0,6.0,6.0,0.0,0.0,0.0,session1_row249,minimal_minmax,minimal_minmax,1.0,0.10727077137111067,0.10727077137111067,0.0
12.0,12.0,7.0,7.0,0.0,0.0,0.0,session1_row250,minimal_minmax,minimal_minmax,1.0,0.003375545835186419,0.003375545835186419,0.0
9.0,9.0,7.0,7.0,0.0,0.0,0.0,session1_row254,minimal_minmax,minimal_minmax,1.0,0.0005538761769186739,0.0005538761769186739,0.0
9.0,9.0,2.0,2.0,0.0,0.0,0.0,session1_row255,minimal_minmax,minimal_minmax,1.0,0.0018345663821697923,0.0018345663821697923,0.0
10.0,10.0,3.0,3.0,0.0,0.0,0.0,session1_row256,minimal_minmax,minimal_minmax,1.0,0.0015852464500984483,0.0015852464500984483,0.0
11.0,11.0,6.0,6.0,0.0,0.0,0.0,session1_row257,minimal_minmax,minimal_minmax,0.9999999999999999,0.0012003713849621615,0.0012003713849621615,0.0
20.0,20.0,8.0,8.0,0.0,0.0,0.0,session1_row258,minimal_minmax,minimal_minmax,1.0,0.008793217687966709,0.008793217687966709,0.0
143.0,143.0,3.0,3.0,0.0,0.0,0.0,session1_row259,minimal_minmax,minimal_minmax,0.9999999999999999,0.1008215288680812,0.1008215288680812,0.0
136.0,136.0,4.0,4.0,0.0,0.0,0.0,session1_row260,minimal_minmax,minimal_minmax,1.0,0.08367500276022918,0.08367500276022918,0.0
114.0,114.0,6.0,6.0,0.0,0.0,0.0,session1_row261,minimal_minmax,minimal_minmax,0.9999999999999998,0.05902056036502104,0.05902056036502104,0.0
45.0,45.0,2.0,2.0,0.0,0.0,0.0,session2_row15,minimal_minmax,minimal_minmax,1.0,0.025977974401242027,0.025977974401242027,0.0
73.0,73.0,2.0,2.0,0.0,0.0,0.0,session2_row16,minimal_minmax,minimal_minmax,1.0,0.03289215316775865,0.03289215316775865,0.0
140.0,140.0,0.0,0.0,0.0,0.0,0.0,session2_row17,minimal_minmax,minimal_minmax,0.9999999999999999,0.0880858494423083,0.0880858494423083,0.0
4.0,4.0,1.0,1.0,0.0,0.0,0.0,session2_row19,minimal_minmax,minimal_minmax,1.0,0.001273904380689578,0.001273904380689578,0.0
4.0,4.0,1.0,1.0,0.0,0.0,0.0,session2_row25,minimal_minmax,minimal_minmax,0.9999999999999998,0.0017941529211117078,0.0017941529211117078,0.0
6.0,6.0,1.0,1.0,0.0,0.0,0.0,session2_row30,minimal_minmax,minimal_minmax,1.0,0.0015583090571508744,0.0015583090571508744,0.0
80.0,80.0,2.0,2.0,0.0,0.0,0.0,session2_row34,minimal_minmax,minimal_minmax,0.9999999999999999,0.04362172911131863,0.04362172911131863,0.0
56.0,56.0,1.0,1.0,0.0,0.0,0.0,session2_row35,minimal_minmax,minimal_minmax,1.0,0.030627215804058798,0.030627215804058798,0.0
6.0,6.0,1.0,1.0,0.0,0.0,0.0,session2_row36,minimal_minmax,minimal_minmax,1.0,0.0012093756261082624,0.0012093756261082624,0.0
7.0,7.0,2.0,2.0,0.0,0.0,0.0,session2_row37,minimal_minmax,minimal_minmax,1.0,0.001525223400257395,0.001525223400257395,0.0
136.0,136.0,1.0,1.0,0.0,0.0,0.0,session2_row38,minimal_minmax,minimal_minmax,1.0,0.07256386747477338,0.07256386747477338,0.0
94.0,94.0,3.0,3.0,0.0,0.0,0.0,session2_row39,minimal_minmax,minimal_minmax,1.0,0.038571410555028676,0.038571410555028676,0.0
5.0,5.0,2.0,2.0,0.0,0.0,0.0,session2_row40,minimal_minmax,minimal_minmax,1.0,0.0017946687674318558,0.0017946687674318558,0.0
3.0,3.0,0.0,0.0,0.0,0.0,0.0,session2_row41,minimal_minmax,minimal_minmax,1.0,0.0014840640231309668,0.0014840640231309668,0.0
143.0,143.0,1.0,1.0,0.0,0.0,0.0,session2_row42,minimal_minmax,minimal_minmax,0.9999999999999998,0.11549390626095318,0.11549390626095318,0.0
151.0,151.0,1.0,1.0,0.0,0.0,0.0,session2_row43,minimal_minmax,minimal_minmax,1.0,0.0988923951009249,0.0988923951009249,0.0
0.0,0.0,0.0,0.0,,,,session2_row44,minimal_minmax,minimal_minmax,1.0,0.0016349986211654129,0.0016349986211654129,0.0
143.0,143.0,7.0,7.0,0.0,0.0,0.0,session2_row45,minimal_minmax,minimal_minmax,1.0,0.08804245306176775,0.08804245306176775,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,session2_row46,minimal_minmax,minimal_minmax,1.0,0.0016554192772465883,0.0016554192772465883,0.0
81.0,81.0,1.0,1.0,0.0,0.0,0.0,session2_row47,minimal_minmax,minimal_minmax,1.0,0.03829594090971107,0.03829594090971107,0.0
