candidate,subset,instrument,n_spectra,preservation_all_peak_weighted_recall,preservation_repeatable_peak_weighted_recall,preservation_median_matched_peak_shift_cm1,preservation_median_absolute_relative_peak_width_change,preservation_median_absolute_peak_prominence_change,preservation_median_row_correlation_to_unsmoothed_family,preservation_median_relative_high_frequency_noise_reduction
minimal_minmax,strict_core,ALL,598,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,strict_core,Agilent-1,29,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,strict_core,Agilent-3,73,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,strict_core,Mira-1,23,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,strict_core,Mira-2,75,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,strict_core,Mira-3,72,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,strict_core,Pendar-1,46,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,strict_core,Pendar-2,98,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,strict_core,Pendar-3,70,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,strict_core,RMX-1,47,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,strict_core,RMX-2,65,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,ALL,500,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,Agilent-1,29,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,Agilent-3,72,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,Mira-1,21,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,Mira-2,74,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,Mira-3,71,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,Pendar-1,40,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,Pendar-2,42,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,Pendar-3,42,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,RMX-1,45,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,quality_pass,RMX-2,64,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,field_quality_stress,ALL,98,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,field_quality_stress,Agilent-3,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,field_quality_stress,Mira-1,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,field_quality_stress,Mira-2,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,field_quality_stress,Mira-3,1,,,,,,1.0,0.0
minimal_minmax,field_quality_stress,Pendar-1,6,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,field_quality_stress,Pendar-2,56,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,field_quality_stress,Pendar-3,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_minmax,field_quality_stress,RMX-1,2,1.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.0
minimal_minmax,field_quality_stress,RMX-2,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
minimal_sg7_minmax,strict_core,ALL,598,0.8382737999030224,0.9705003734129948,0.0,0.01447042402460295,0.0027708733727472325,0.9998839478384478,0.3514976508271687
minimal_sg7_minmax,strict_core,Agilent-1,29,0.9343065693430657,0.9807692307692307,0.0,0.003355277270727761,0.000572355378302053,0.9999904294571558,0.09402970003692057
minimal_sg7_minmax,strict_core,Agilent-3,73,0.9426063470627954,1.0,0.0,0.0020917871076694848,0.0003577765960796897,0.9999966883687048,0.10691642013484826
minimal_sg7_minmax,strict_core,Mira-1,23,0.9734513274336283,1.0,0.0,0.00333863240506077,0.0007618977884316647,0.9999968865778577,0.08628154492293161
minimal_sg7_minmax,strict_core,Mira-2,75,0.9960629921259843,0.9947916666666666,0.0,0.0014094225313005385,0.0003796985741990333,0.9999987109064299,0.1677487600940405
minimal_sg7_minmax,strict_core,Mira-3,72,0.9765625,1.0,0.0,0.0029581478355714635,0.0005980569722081469,0.9999973718813013,0.17155981181188645
minimal_sg7_minmax,strict_core,Pendar-1,46,0.8530872959545777,0.9767441860465116,1.0,0.08241073083824282,0.011551960560070618,0.9948278496386604,0.38403406091168624
minimal_sg7_minmax,strict_core,Pendar-2,98,0.8759757155247181,0.9586206896551724,1.0,0.10469373168350862,0.02139032640854062,0.9815829738445438,0.3866912900396497
minimal_sg7_minmax,strict_core,Pendar-3,70,0.8573705179282869,0.9622302158273381,1.0,0.09465362377361858,0.015463804744556421,0.9919502016223143,0.3935348253099074
minimal_sg7_minmax,strict_core,RMX-1,47,0.9376498800959233,0.9946524064171123,0.0,0.007920102846803535,0.0021032142793292463,0.9999178767365536,0.42825352819750206
minimal_sg7_minmax,strict_core,RMX-2,65,0.592355175688509,0.9567723342939481,1.0,0.13127136633742081,0.017590966860611006,0.9984831334264253,0.4589108248254842
minimal_sg7_minmax,quality_pass,ALL,500,0.8116862326574172,0.9768280123583934,0.0,0.007024239209134711,0.001504629875653224,0.9999677105250486,0.19836560945995524
minimal_sg7_minmax,quality_pass,Agilent-1,29,0.9343065693430657,0.9807692307692307,0.0,0.003355277270727761,0.000572355378302053,0.9999904294571558,0.09402970003692057
minimal_sg7_minmax,quality_pass,Agilent-3,72,0.9420586230402181,1.0,0.0,0.0020965729470788083,0.0003634000077937932,0.9999965378959992,0.10721414802952728
