master_sample_id,target_analyte,instrument_a,instrument_b,observation_uid_a,observation_uid_b,both_quality_pass,best_integer_lag_cm1_b_relative_to_a,best_cosine_similarity,zero_lag_cosine_similarity,similarity_gain_over_zero_lag
1.0,benzyl_fentanyl,Agilent-3,Mira-3,session1_row12,session1_row10,True,-1,0.24336081256376232,0.23140975300816294,0.011951059555599386
1.0,benzyl_fentanyl,Agilent-3,Mira-3,session1_row15,session1_row10,True,-1,0.2832357931298822,0.2826180056306678,0.0006177874992143728
1.0,benzyl_fentanyl,Agilent-3,Mira-3,session1_row22,session1_row10,True,0,0.29405655215931575,0.29405655215931575,0.0
1.0,benzyl_fentanyl,Mira-3,Pendar-3,session1_row10,session2_row15,True,-1,0.3375872236429765,0.32844006522372426,0.009147158419252233
1.0,benzyl_fentanyl,Agilent-3,Mira-3,session2_row105,session1_row10,True,0,0.3584919516027036,0.3584919516027036,0.0
1.0,benzyl_fentanyl,Mira-3,Pendar-1,session1_row10,session3_row206,True,-1,0.35811343624941433,0.35346787871749347,0.004645557531920863
1.0,benzyl_fentanyl,Agilent-1,Mira-3,session3_row226,session1_row10,True,-1,0.32990538210319836,0.3212033078490106,0.008702074254187786
1.0,benzyl_fentanyl,Agilent-1,Mira-3,session3_row336,session1_row10,True,-1,0.10925204325429233,0.10721443953962509,0.002037603714667241
1.0,benzyl_fentanyl,Agilent-3,Pendar-3,session1_row12,session2_row15,True,-3,0.5051973839431052,0.4468364301635038,0.05836095377960143
1.0,benzyl_fentanyl,Agilent-3,Mira-3,session1_row12,session2_row19,True,-2,0.5352484326568496,0.4954043531674671,0.03984407948938251
1.0,benzyl_fentanyl,Agilent-3,Pendar-1,session1_row12,session3_row206,True,-2,0.49226909874996233,0.45156124593501873,0.0407078528149436
1.0,benzyl_fentanyl,Agilent-1,Agilent-3,session3_row226,session1_row12,True,0,0.4634856765706427,0.4634856765706427,0.0
1.0,benzyl_fentanyl,Agilent-3,Mira-3,session1_row12,session3_row300,True,-3,0.06439911467007459,0.05315308707888042,0.011246027591194169
1.0,benzyl_fentanyl,Agilent-1,Agilent-3,session3_row336,session1_row12,True,5,0.18496984582828246,0.08435694801436085,0.10061289781392162
1.0,benzyl_fentanyl,Agilent-3,Pendar-3,session1_row15,session2_row15,True,-1,0.541399980652893,0.5247550919802049,0.016644888672688096
1.0,benzyl_fentanyl,Agilent-3,Mira-3,session1_row15,session2_row19,True,-1,0.6022744674864186,0.584366190984584,0.017908276501834575
1.0,benzyl_fentanyl,Agilent-3,Pendar-1,session1_row15,session3_row206,True,-2,0.5767242405795394,0.5528087899665178,0.023915450613021583
1.0,benzyl_fentanyl,Agilent-1,Agilent-3,session3_row226,session1_row15,True,0,0.5654474177055181,0.5654474177055181,0.0
