subset,instrument_a,instrument_b,pair_count,master_sample_count,target_class_count,median_lag_cm1,lag_q25_cm1,lag_q75_cm1,lag_iqr_cm1,fraction_within_one_cm1_of_median,median_similarity_gain_over_zero
strict_core,Agilent-1,Agilent-3,54,19,3,-1.0,-1.0,0.0,1.0,0.8703703703703703,0.0064881222693655705
strict_core,Agilent-1,Mira-3,106,18,3,0.0,-1.0,0.0,1.0,0.7264150943396226,0.0010650357217140138
strict_core,Agilent-1,Pendar-1,64,19,3,-2.0,-2.0,0.0,2.0,0.640625,0.0167716919702766
strict_core,Agilent-1,Pendar-2,6,4,2,-1.5,-2.0,-0.25,1.75,0.5,0.005327333239397117
strict_core,Agilent-1,Pendar-3,29,18,3,-1.0,-2.0,-1.0,1.0,0.8275862068965517,0.010702824775540076
strict_core,Agilent-3,Mira-1,33,17,3,-1.0,-1.0,0.0,1.0,0.8787878787878788,0.006250372217234124
strict_core,Agilent-3,Mira-2,93,10,5,-1.0,-3.0,2.0,5.0,0.3118279569892473,0.012259874455314457
strict_core,Agilent-3,Mira-3,133,19,3,0.0,-1.0,1.0,2.0,0.6541353383458647,0.0064908715893590985
strict_core,Agilent-3,Pendar-1,74,20,3,-1.0,-2.0,0.0,2.0,0.7027027027027027,0.010524419691797626
strict_core,Agilent-3,Pendar-2,108,29,7,-1.0,-3.0,0.0,3.0,0.46296296296296297,0.01630021452237614
strict_core,Agilent-3,Pendar-3,89,40,7,-1.0,-2.0,1.0,3.0,0.6292134831460674,0.015159896746380797
strict_core,Agilent-3,RMX-1,72,8,3,-1.0,-2.0,3.0,5.0,0.4722222222222222,0.009373938439908268
strict_core,Agilent-3,RMX-2,67,17,3,-2.0,-2.0,-1.0,1.0,0.7164179104477612,0.027132847301090723
strict_core,Mira-1,Mira-2,3,2,2,-1.0,-2.0,1.5,3.5,0.3333333333333333,0.010502436400198545
strict_core,Mira-1,Pendar-2,30,17,3,-1.0,-1.75,0.75,2.5,0.6,0.012911754879870396
strict_core,Mira-1,Pendar-3,59,17,3,-1.0,-1.0,0.0,1.0,0.7288135593220338,0.011359566246407882
strict_core,Mira-1,RMX-2,81,17,3,-1.0,-2.0,-1.0,1.0,0.7160493827160493,0.028201946309719228
strict_core,Mira-2,Pendar-2,216,26,5,-0.5,-3.0,2.0,5.0,0.24537037037037038,0.013776963385190584
strict_core,Mira-2,Pendar-3,66,10,5,1.0,-2.0,3.0,5.0,0.2727272727272727,0.015570681347070143
strict_core,Mira-2,RMX-1,199,18,3,0.0,-1.0,3.0,4.0,0.4271356783919598,0.014533709934271194
strict_core,Mira-2,RMX-2,21,2,2,0.0,-1.0,2.0,3.0,0.5238095238095238,0.00846479758101537
strict_core,Mira-3,Pendar-1,169,19,3,-1.0,-2.0,1.0,3.0,0.5680473372781065,0.012299518182916885
strict_core,Mira-3,Pendar-2,26,4,2,-1.5,-3.0,0.75,3.75,0.34615384615384615,0.020689074435630665
strict_core,Mira-3,Pendar-3,76,19,3,-1.0,-2.25,0.0,2.25,0.5263157894736842,0.021559057466955356
strict_core,Pendar-1,Pendar-2,19,4,2,-1.0,-3.0,3.5,6.5,0.21052631578947367,0.03960816976196446
strict_core,Pendar-1,Pendar-3,46,19,3,0.0,-1.0,1.75,2.75,0.5217391304347826,0.009964810825553477
strict_core,Pendar-2,Pendar-3,98,29,7,0.0,-2.0,1.0,3.0,0.4387755102040816,0.0162017479229433
strict_core,Pendar-2,RMX-1,152,18,3,0.0,-1.0,2.0,3.0,0.47368421052631576,0.007478173023640865
strict_core,Pendar-2,RMX-2,94,23,3,0.0,-1.0,0.0,1.0,0.6382978723404256,0.00791587910670502
strict_core,Pendar-3,RMX-1,41,8,3,0.0,-1.0,4.0,5.0,0.43902439024390244,0.006966905418607637
strict_core,Pendar-3,RMX-2,149,17,3,0.0,-1.0,1.0,2.0,0.6308724832214765,0.007918303970244511
quality_pass,Agilent-1,Agilent-3,54,19,3,-1.0,-1.0,0.0,1.0,0.8703703703703703,0.0064881222693655705
quality_pass,Agilent-1,Mira-3,105,18,3,0.0,-1.0,0.0,1.0,0.7333333333333333,0.0010524468517517649
quality_pass,Agilent-1,Pendar-1,55,18,3,-2.0,-2.0,-1.0,1.0,0.6909090909090909,0.01677008058369972
quality_pass,Agilent-1,Pendar-2,3,3,2,-2.0,-2.0,-1.5,0.5,1.0,0.0065468668060799096
quality_pass,Agilent-1,Pendar-3,18,10,3,-2.0,-2.0,-1.0,1.0,0.8888888888888888,0.01111338853557145
quality_pass,Agilent-3,Mira-1,31,15,3,-1.0,-1.0,0.0,1.0,0.8709677419354839,0.00787091816983887
quality_pass,Agilent-3,Mira-2,88,9,5,-1.0,-3.0,2.0,5.0,0.2840909090909091,0.01278920455575782
quality_pass,Agilent-3,Mira-3,132,19,3,0.0,-1.0,1.0,2.0,0.6515151515151515,0.006618020651895443
quality_pass,Agilent-3,Pendar-1,64,19,3,-1.0,-2.0,0.0,2.0,0.703125,0.010524419691797626
quality_pass,Agilent-3,Pendar-2,38,20,5,-1.0,-2.0,0.0,2.0,0.6578947368421053,0.017487861842451546
quality_pass,Agilent-3,Pendar-3,58,30,6,-1.0,-2.0,0.0,2.0,0.7413793103448276,0.01684575803782573
quality_pass,Agilent-3,RMX-1,67,7,3,-1.0,-2.0,3.0,5.0,0.44776119402985076,0.010574121195152265
quality_pass,Agilent-3,RMX-2,66,17,3,-2.0,-2.0,-1.0,1.0,0.7121212121212122,0.027377094080585834
quality_pass,Mira-1,Mira-2,1,1,1,-1.0,-1.0,-1.0,0.0,1.0,0.007292273446252329
quality_pass,Mira-1,Pendar-2,21,13,3,-1.0,-1.0,0.0,1.0,0.7619047619047619,0.010040349902989076
quality_pass,Mira-1,Pendar-3,37,14,3,-1.0,-1.0,-1.0,0.0,0.8108108108108109,0.011408976008875249
quality_pass,Mira-1,RMX-2,69,15,3,-1.0,-2.0,-1.0,1.0,0.8115942028985508,0.027990124551691253
quality_pass,Mira-2,Pendar-2,44,9,3,0.0,-1.0,2.25,3.25,0.4772727272727273,0.01085343606652367
quality_pass,Mira-2,Pendar-3,31,6,4,-1.0,-2.0,2.0,4.0,0.3548387096774194,0.015897357816389623
quality_pass,Mira-2,RMX-1,191,18,3,0.0,-1.0,3.0,4.0,0.41361256544502617,0.014746509472367109
quality_pass,Mira-2,RMX-2,21,2,2,0.0,-1.0,2.0,3.0,0.5238095238095238,0.00846479758101537
quality_pass,Mira-3,Pendar-1,142,18,3,-1.0,-2.0,0.0,2.0,0.6056338028169014,0.0113919508622849
quality_pass,Mira-3,Pendar-2,13,3,2,-2.0,-5.0,-1.0,4.0,0.46153846153846156,0.02475604194059254
quality_pass,Mira-3,Pendar-3,40,11,3,-1.0,-2.0,-1.0,1.0,0.75,0.017745924095011578
quality_pass,Pendar-1,Pendar-2,8,3,2,-2.5,-3.25,0.25,3.5,0.375,0.04902217448388373
quality_pass,Pendar-1,Pendar-3,20,10,2,0.0,0.0,0.0,0.0,0.9,0.0
quality_pass,Pendar-2,Pendar-3,31,17,4,0.0,-1.0,1.0,2.0,0.5806451612903226,0.004834710355975103
quality_pass,Pendar-2,RMX-1,37,7,1,0.0,-1.0,0.0,1.0,0.7027027027027027,0.004453344476207155
quality_pass,Pendar-2,RMX-2,71,21,3,0.0,-1.0,0.0,1.0,0.676056338028169,0.006625804770724192
quality_pass,Pendar-3,RMX-1,22,5,3,0.0,-1.0,5.0,6.0,0.5454545454545454,0.002338938703311255
quality_pass,Pendar-3,RMX-2,91,16,3,0.0,-1.0,1.0,2.0,0.7472527472527473,0.005438360854936153
